2.5%,10%,30%,50%,97.5%,state,type
6008.9000000000005,7404.7,8418,9133,11280.025,US.agg,25-44 years
-23,-15,-8,-3,11,AK,25-44 years
59,98,135,158,247,AL,25-44 years
64,91,118,135,196,AR,25-44 years
216,259,302,330,429,AZ,25-44 years
641,713,790,842,1034,CA,25-44 years
100,138,173,197,278,CO,25-44 years
22,34,48,56,82,DC,25-44 years
-44,-34,-23,-15,12,DE,25-44 years
482.975,552,624,671,840.0249999999996,FL,25-44 years
-58,-11,39,70,181,GA,25-44 years
-95,-82,-69,-60,-32,HI,25-44 years
-36,-15,8,22,69,IA,25-44 years
6,20,35,45,78,ID,25-44 years
474,524,575,607,719.0249999999996,IL,25-44 years
-88,-47,-5,23,117,IN,25-44 years
-47,-21,5,21,79,KS,25-44 years
118,151,186,209,287,KY,25-44 years
-62,-22,15,40,126,LA,25-44 years
76,115,151,174,257.02499999999964,MA,25-44 years
112,152,194,220,313,MD,25-44 years
-31,-17,-3,7,41,ME,25-44 years
265.975,309,355,385,488,MI,25-44 years
-16,17,46,67,135,MN,25-44 years
-167,-125,-83,-55,40,MO,25-44 years
62,92,123,143,206.02499999999964,MS,25-44 years
0,12,24,30,51,MT,25-44 years
27,35,43,47,61,ND,25-44 years
-2,17,35,46,80,NE,25-44 years
-14,1,14,23,51,NH,25-44 years
448,487.9000000000001,527,554,649,NJ,25-44 years
-93.02499999999998,-65,-36,-17,48,NM,25-44 years
48.97500000000002,75,101,117,173,NV,25-44 years
388.975,434,478,507,607,NY,25-44 years
829,864,903,927,1013,NYC,25-44 years
307,363,419,455,579,OH,25-44 years
-16,16,45,66,135,OK,25-44 years
-24,3,30,48,108,OR,25-44 years
25,78,135,171,303,PA,25-44 years
-29,-21,-13,-8,8,RI,25-44 years
115,151,188,211,296,SC,25-44 years
-54,-45.09999999999991,-36,-30,-12,SD,25-44 years
307,354,402,430,533,TN,25-44 years
397,471,545.6999999999998,598,772,TX,25-44 years
-15,11,36,53,112,UT,25-44 years
178,217,258,284,375,VA,25-44 years
91,127.90000000000009,162,186,269,WA,25-44 years
84,118,150,171,244,WI,25-44 years
-121.02499999999998,-98,-75,-60,-6,WV,25-44 years
24040.875,26956.7,28944,30355.5,34990.125,US.agg,45-64 years
-79,-57,-36,-22,26,AK,45-64 years
353,425,494,540,709.0249999999996,AL,45-64 years
86,143,199,236,362,AR,45-64 years
754,830,900,946,1113,AZ,45-64 years
1891.975,2046,2191,2287,2644.0249999999996,CA,45-64 years
314,369,430,469,601,CO,45-64 years
75,102,131,150,214,DC,45-64 years
7.975000000000023,35,64,82,143,DE,45-64 years
790.975,936,1064,1149,1471,FL,45-64 years
251.97500000000002,342,432,491,704,GA,45-64 years
-37,-6,25,46,115,HI,45-64 years
-115,-65,-15,17,128,IA,45-64 years
-16,16,48,70,147,ID,45-64 years
1842,1932,2025,2086,2308,IL,45-64 years
