state,year,week,week_end,all_cause,flag_ac
Alabama,2014,1,2014-01-04,355,NA
Alabama,2014,2,2014-01-11,872,NA
Alabama,2014,3,2014-01-18,1044,NA
Alabama,2014,4,2014-01-25,1022,NA
Alabama,2014,5,2014-02-01,1040,NA
Alabama,2014,6,2014-02-08,992,NA
Alabama,2014,7,2014-02-15,942,NA
Alabama,2014,8,2014-02-22,990,NA
Alabama,2014,9,2014-03-01,958,NA
Alabama,2014,10,2014-03-08,988,NA
Alabama,2014,11,2014-03-15,974,NA
Alabama,2014,12,2014-03-22,934,NA
Alabama,2014,13,2014-03-29,926,NA
Alabama,2014,14,2014-04-05,949,NA
Alabama,2014,15,2014-04-12,924,NA
Alabama,2014,16,2014-04-19,986,NA
Alabama,2014,17,2014-04-26,914,NA
Alabama,2014,18,2014-05-03,933,NA
Alabama,2014,19,2014-05-10,916,NA
Alabama,2014,20,2014-05-17,925,NA
Alabama,2014,21,2014-05-24,892,NA
Alabama,2014,22,2014-05-31,932,NA
Alabama,2014,23,2014-06-07,922,NA
Alabama,2014,24,2014-06-14,838,NA
Alabama,2014,25,2014-06-21,774,NA
Alabama,2014,26,2014-06-28,727,NA
Alabama,2014,27,2014-07-05,671,NA
Alabama,2014,28,2014-07-12,683,NA
Alabama,2014,29,2014-07-19,751,NA
Alabama,2014,30,2014-07-26,847,NA
Alabama,2014,31,2014-08-02,848,NA
Alabama,2014,32,2014-08-09,891,NA
Alabama,2014,33,2014-08-16,829,NA
Alabama,2014,34,2014-08-23,741,NA
Alabama,2014,35,2014-08-30,588,NA
Alabama,2014,36,2014-09-06,700,NA
Alabama,2014,37,2014-09-13,729,NA
Alabama,2014,38,2014-09-20,764,NA
Alabama,2014,39,2014-09-27,933,NA
Alabama,2014,40,2014-10-04,866,NA
Alabama,2014,41,2014-10-11,917,NA
Alabama,2014,42,2014-10-18,924,NA
Alabama,2014,43,2014-10-25,890,NA
Alabama,2014,44,2014-11-01,918,NA
Alabama,2014,45,2014-11-08,817,NA
Alabama,2014,46,2014-11-15,805,NA
Alabama,2014,47,2014-11-22,933,NA
Alabama,2014,48,2014-11-29,986,NA
Alabama,2014,49,2014-12-06,995,NA
Alabama,2014,50,2014-12-13,1036,NA
Alabama,2014,51,2014-12-20,1117,NA
Alabama,2014,52,2014-12-27,1068,NA
Alabama,2014,53,2015-01-03,1103,NA
Alabama,2015,1,2015-01-10,1139,NA
Alabama,2015,2,2015-01-17,1140,NA
Alabama,2015,3,2015-01-24,1043,NA
Alabama,2015,4,2015-01-31,1076,NA
Alabama,2015,5,2015-02-07,1110,NA
Alabama,2015,6,2015-02-14,1070,NA
Alabama,2015,7,2015-02-21,1066,NA
Alabama,2015,8,2015-02-28,1102,NA
Alabama,2015,9,2015-03-07,1206,NA
Alabama,2015,10,2015-03-14,1103,NA
Alabama,2015,11,2015-03-21,1003,NA
Alabama,2015,12,2015-03-28,983,NA
Alabama,2015,13,2015-04-04,955,NA
Alabama,2015,14,2015-04-11,975,NA
Alabama,2015,15,2015-04-18,902,NA
Alabama,2015,16,2015-04-25,996,NA
Alabama,2015,17,2015-05-02,977,NA
Alabama,2015,18,2015-05-09,900,NA
Alabama,2015,19,2015-05-16,893,NA
Alabama,2015,20,2015-05-23,862,NA
Alabama,2015,21,2015-05-30,816,NA
Alabama,2015,22,2015-06-06,749,NA
Alabama,2015,23,2015-06-13,881,NA
Alabama,2015,24,2015-06-20,902,NA
Alabama,2015,25,2015-06-27,932,NA
Alabama,2015,26,2015-07-04,905,NA
Alabama,2015,27,2015-07-11,926,NA
Alabama,2015,28,2015-07-18,920,NA
Alabama,2015,29,2015-07-25,919,NA
Alabama,2015,30,2015-08-01,904,NA
Alabama,2015,31,2015-08-08,910,NA
Alabama,2015,32,2015-08-15,958,NA
Alabama,2015,33,2015-08-22,866,NA
Alabama,2015,34,2015-08-29,918,NA
Alabama,2015,35,2015-09-05,928,NA
Alabama,2015,36,2015-09-12,957,NA
Alabama,2015,37,2015-09-19,907,NA
Alabama,2015,38,2015-09-26,933,NA
Alabama,2015,39,2015-10-03,878,NA
Alabama,2015,40,2015-10-10,918,NA
Alabama,2015,41,2015-10-17,789,NA
Alabama,2015,42,2015-10-24,794,NA
Alabama,2015,43,2015-10-31,909,NA
Alabama,2015,44,2015-11-07,866,NA
Alabama,2015,45,2015-11-14,928,NA
Alabama,2015,46,2015-11-21,995,NA
Alabama,2015,47,2015-11-28,974,NA
Alabama,2015,48,2015-12-05,914,NA
Alabama,2015,49,2015-12-12,899,NA
Alabama,2015,50,2015-12-19,768,NA
Alabama,2015,51,2015-12-26,778,NA
Alabama,2015,52,2016-01-02,912,NA
Alabama,2016,1,2016-01-09,1008,NA
Alabama,2016,2,2016-01-16,1044,NA
Alabama,2016,3,2016-01-23,1029,NA
Alabama,2016,4,2016-01-30,1020,NA
Alabama,2016,5,2016-02-06,1103,NA
Alabama,2016,6,2016-02-13,1098,NA
Alabama,2016,7,2016-02-20,1114,NA
Alabama,2016,8,2016-02-27,962,NA
Alabama,2016,9,2016-03-05,1006,NA
Alabama,2016,10,2016-03-12,1035,NA
Alabama,2016,11,2016-03-19,1009,NA
Alabama,2016,12,2016-03-26,1001,NA
Alabama,2016,13,2016-04-02,959,NA
Alabama,2016,14,2016-04-09,1006,NA
Alabama,2016,15,2016-04-16,942,NA
Alabama,2016,16,2016-04-23,1011,NA
Alabama,2016,17,2016-04-30,966,NA
Alabama,2016,18,2016-05-07,963,NA
Alabama,2016,19,2016-05-14,945,NA
Alabama,2016,20,2016-05-21,918,NA
Alabama,2016,21,2016-05-28,941,NA
Alabama,2016,22,2016-06-04,954,NA
Alabama,2016,23,2016-06-11,967,NA
Alabama,2016,24,2016-06-18,877,NA
Alabama,2016,25,2016-06-25,979,NA
Alabama,2016,26,2016-07-02,903,NA
Alabama,2016,27,2016-07-09,903,NA
Alabama,2016,28,2016-07-16,965,NA
Alabama,2016,29,2016-07-23,927,NA
Alabama,2016,30,2016-07-30,927,NA
Alabama,2016,31,2016-08-06,918,NA
Alabama,2016,32,2016-08-13,921,NA
Alabama,2016,33,2016-08-20,979,NA
Alabama,2016,34,2016-08-27,942,NA
Alabama,2016,35,2016-09-03,918,NA
Alabama,2016,36,2016-09-10,912,NA
Alabama,2016,37,2016-09-17,947,NA
Alabama,2016,38,2016-09-24,986,NA
Alabama,2016,39,2016-10-01,939,NA
Alabama,2016,40,2016-10-08,958,NA
Alabama,2016,41,2016-10-15,973,NA
Alabama,2016,42,2016-10-22,907,NA
Alabama,2016,43,2016-10-29,964,NA
Alabama,2016,44,2016-11-05,952,NA
Alabama,2016,45,2016-11-12,1029,NA
Alabama,2016,46,2016-11-19,1004,NA
Alabama,2016,47,2016-11-26,1029,NA
Alabama,2016,48,2016-12-03,1033,NA
Alabama,2016,49,2016-12-10,1057,NA
Alabama,2016,50,2016-12-17,1049,NA
Alabama,2016,51,2016-12-24,1134,NA
Alabama,2016,52,2016-12-31,1104,NA
Alabama,2017,1,2017-01-07,1121,NA
Alabama,2017,2,2017-01-14,1130,NA
Alabama,2017,3,2017-01-21,1048,NA
Alabama,2017,4,2017-01-28,1026,NA
Alabama,2017,5,2017-02-04,1036,NA
Alabama,2017,6,2017-02-11,1058,NA
Alabama,2017,7,2017-02-18,1060,NA
Alabama,2017,8,2017-02-25,1099,NA
Alabama,2017,9,2017-03-04,1081,NA
Alabama,2017,10,2017-03-11,1011,NA
Alabama,2017,11,2017-03-18,1067,NA
Alabama,2017,12,2017-03-25,1068,NA
Alabama,2017,13,2017-04-01,991,NA
Alabama,2017,14,2017-04-08,1037,NA
Alabama,2017,15,2017-04-15,1017,NA
Alabama,2017,16,2017-04-22,966,NA
Alabama,2017,17,2017-04-29,996,NA
Alabama,2017,18,2017-05-06,907,NA
Alabama,2017,19,2017-05-13,1064,NA
Alabama,2017,20,2017-05-20,998,NA
Alabama,2017,21,2017-05-27,988,NA
Alabama,2017,22,2017-06-03,925,NA
Alabama,2017,23,2017-06-10,984,NA
Alabama,2017,24,2017-06-17,918,NA
Alabama,2017,25,2017-06-24,961,NA
Alabama,2017,26,2017-07-01,925,NA
Alabama,2017,27,2017-07-08,954,NA
Alabama,2017,28,2017-07-15,968,NA
Alabama,2017,29,2017-07-22,964,NA
Alabama,2017,30,2017-07-29,888,NA
Alabama,2017,31,2017-08-05,949,NA
Alabama,2017,32,2017-08-12,936,NA
Alabama,2017,33,2017-08-19,933,NA
Alabama,2017,34,2017-08-26,917,NA
Alabama,2017,35,2017-09-02,953,NA
Alabama,2017,36,2017-09-09,960,NA
Alabama,2017,37,2017-09-16,968,NA
Alabama,2017,38,2017-09-23,995,NA
Alabama,2017,39,2017-09-30,1019,NA
Alabama,2017,40,2017-10-07,948,NA
Alabama,2017,41,2017-10-14,986,NA
Alabama,2017,42,2017-10-21,966,NA
Alabama,2017,43,2017-10-28,941,NA
Alabama,2017,44,2017-11-04,994,NA
Alabama,2017,45,2017-11-11,994,NA
Alabama,2017,46,2017-11-18,982,NA
Alabama,2017,47,2017-11-25,1004,NA
Alabama,2017,48,2017-12-02,1067,NA
Alabama,2017,49,2017-12-09,1074,NA
Alabama,2017,50,2017-12-16,1120,NA
Alabama,2017,51,2017-12-23,1098,NA
Alabama,2017,52,2017-12-30,1080,NA
Alabama,2018,1,2018-01-06,1248,NA
Alabama,2018,2,2018-01-13,1301,NA
