region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
National,National,2015,40,12029,84,43,1.05578,0.698312,0.357469,2015-10-04
National,National,2015,41,13111,116,54,1.29662,0.884753,0.411868,2015-10-11
National,National,2015,42,13441,97,52,1.10855,0.721672,0.386876,2015-10-18
National,National,2015,43,13537,98,52,1.10807,0.723942,0.384132,2015-10-25
National,National,2015,44,14687,97,68,1.12344,0.660448,0.462994,2015-11-01
National,National,2015,45,15048,122,86,1.38224,0.810739,0.571505,2015-11-08
National,National,2015,46,15250,84,98,1.19344,0.55082,0.64262300000000006,2015-11-15
National,National,2015,47,15234,119,92,1.38506,0.781147,0.603912,2015-11-22
National,National,2015,48,16201,145,81,1.39498,0.895006,0.499969,2015-11-29
National,National,2015,49,16673,140,106,1.47544,0.839681,0.635758,2015-12-06
National,National,2015,50,17358,244,192,2.51181,1.40569,1.10612,2015-12-13
National,National,2015,51,16878,220,166,2.287,1.30347,0.983529,2015-12-20
National,National,2015,52,18865,264,200,2.45958,1.39942,1.06016,2015-12-27
National,National,2016,1,19786,396,184,2.93137,2.00142,0.92995,2016-01-03
National,National,2016,2,18689,571,224,4.25384,3.05527,1.19857,2016-01-10
National,National,2016,3,18798,716,315,5.48463,3.80892,1.67571,2016-01-17
National,National,2016,4,20791,1035,412,6.95974,4.97812,1.98163,2016-01-24
National,National,2016,5,22261,1572,587,9.69858,7.06168,2.6369,2016-01-31
National,National,2016,6,24934,2265,864,12.5491,9.08398,3.46515,2016-02-07
National,National,2016,7,27208,3135,1092,15.5359,11.5223,4.01353,2016-02-14
National,National,2016,8,30966,4410,1276,18.3621,14.2414,4.12065,2016-02-21
National,National,2016,9,33880,5523,1629,21.1098,16.3017,4.80815,2016-02-28
National,National,2016,10,36781,6679,2018,23.6454,18.1588,5.48653,2016-03-06
National,National,2016,11,34233,5047,1790,19.972,14.7431,5.22887,2016-03-13
National,National,2016,12,30161,3919,1652,18.4709,12.9936,5.47727,2016-03-20
National,National,2016,13,27603,2965,1514,16.2265,10.7416,5.48491,2016-03-27
National,National,2016,14,23979,1971,1390,14.0164,8.21969,5.79674,2016-04-03
National,National,2016,15,21683,1506,1364,13.2362,6.94553,6.29064,2016-04-10
National,National,2016,16,19860,1123,1329,12.3464,5.65458,6.69184,2016-04-17
National,National,2016,17,17970,701,1143,10.2615,3.90095,6.3606,2016-04-24
National,National,2016,18,15380,427,822,8.12094,2.77633,5.3446,2016-05-01
National,National,2016,19,14090,280,662,6.68559,1.98722,4.69837,2016-05-08
National,National,2016,20,12545,224,505,5.81108,1.78557,4.02551,2016-05-15
National,National,2016,21,11591,139,408,4.71918,1.19921,3.51997,2016-05-22
National,National,2016,22,10067,82,226,3.0595,0.814543,2.24496,2016-05-29
National,National,2016,23,9172,70,207,3.02006,0.763192,2.25687,2016-06-05
National,National,2016,24,8364,59,94,1.82927,0.705404,1.12386,2016-06-12
National,National,2016,25,7417,44,83,1.71228,0.593232,1.11905,2016-06-19
National,National,2016,26,6298,26,51,1.22261,0.412829,0.809781,2016-06-26
National,National,2016,27,5978,24,30,0.903312,0.401472,0.50184,2016-07-03
National,National,2016,28,6328,24,31,0.869153,0.379267,0.489886,2016-07-10
National,National,2016,29,5888,24,26,0.849185,0.407609,0.441576,2016-07-17
National,National,2016,30,5756,20,25,0.781793,0.347464,0.434329,2016-07-24
National,National,2016,31,5675,33,20,0.933921,0.581498,0.352423,2016-07-31
National,National,2016,32,5773,22,30,0.900745,0.381084,0.51966,2016-08-07
National,National,2016,33,5974,27,21,0.803482,0.451958,0.351523,2016-08-14
National,National,2016,34,6264,63,25,1.40485,1.00575,0.399106,2016-08-21
National,National,2016,35,7093,78,41,1.67771,1.09968,0.578035,2016-08-28
National,National,2016,36,7732,57,56,1.46146,0.737196,0.724263,2016-09-04
National,National,2016,37,8727,74,58,1.51255,0.847943,0.664604,2016-09-11
National,National,2016,38,9418,97,67,1.74135,1.02994,0.711404,2016-09-18
National,National,2016,39,10596,106,83,1.78369,1.00038,0.783314,2016-09-25
National,National,2016,40,13380,120,90,1.56951,0.896861,0.672646,2016-10-02
National,National,2016,41,14053,108,83,1.35914,0.768519,0.590621,2016-10-09
National,National,2016,42,15110,115,97,1.40304,0.761085,0.641959,2016-10-16
National,National,2016,43,15312,143,88,1.50862,0.933908,0.574713,2016-10-23
National,National,2016,44,16652,201,118,1.91569,1.20706,0.708624,2016-10-30
National,National,2016,45,17811,271,121,2.20089,1.52153,0.679355,2016-11-06
National,National,2016,46,19060,347,144,2.57608,1.82057,0.755509,2016-11-13
National,National,2016,47,18520,451,169,3.34773,2.43521,0.912527,2016-11-20
National,National,2016,48,21542,532,183,3.3191,2.46959,0.849503,2016-11-27
National,National,2016,49,20564,696,180,4.25987,3.38456,0.875316,2016-12-04
