sub_area,week_id,id,date_update,weeks,deaths,Deaths,week,date
Alabama,11,1,2020-03-14,Week 11 update,616,616,11,2020-03-14
Alabama,11,1,2020-03-14,Week 12 update,868,868,12,2020-03-21
Alabama,11,1,2020-03-14,Week 13 update,942,942,13,2020-03-28
Alabama,11,1,2020-03-14,Week 15 update,993,993,15,2020-04-11
Alabama,11,1,2020-03-14,Week 16 update,1022,"1,022",16,2020-04-18
Alabama,11,1,2020-03-14,Week 17 update,1041,"1,041",17,2020-04-25
Alabama,11,1,2020-03-14,Week 18 update,1053,"1,053",18,2020-05-02
Alabama,11,1,2020-03-14,Week 19 update,1059,"1,059",19,2020-05-09
Alabama,11,1,2020-03-14,Week 20 update,1071,"1,071",20,2020-05-16
Alaska,11,1,2020-03-14,Week 11 update,28,28,11,2020-03-14
Alaska,11,1,2020-03-14,Week 12 update,62,62,12,2020-03-21
Alaska,11,1,2020-03-14,Week 13 update,75,75,13,2020-03-28
Alaska,11,1,2020-03-14,Week 15 update,78,78,15,2020-04-11
Alaska,11,1,2020-03-14,Week 16 update,83,83,16,2020-04-18
Alaska,11,1,2020-03-14,Week 17 update,84,84,17,2020-04-25
Alaska,11,1,2020-03-14,Week 18 update,87,87,18,2020-05-02
Alaska,11,1,2020-03-14,Week 19 update,88,88,19,2020-05-09
Alaska,11,1,2020-03-14,Week 20 update,89,89,20,2020-05-16
Arizona,11,1,2020-03-14,Week 11 update,908,908,11,2020-03-14
Arizona,11,1,2020-03-14,Week 12 update,1208,"1,208",12,2020-03-21
Arizona,11,1,2020-03-14,Week 13 update,1246,"1,246",13,2020-03-28
Arizona,11,1,2020-03-14,Week 15 update,1258,"1,258",15,2020-04-11
Arizona,11,1,2020-03-14,Week 16 update,1263,"1,263",16,2020-04-18
Arizona,11,1,2020-03-14,Week 17 update,1269,"1,269",17,2020-04-25
Arizona,11,1,2020-03-14,Week 18 update,1276,"1,276",18,2020-05-02
Arizona,11,1,2020-03-14,Week 19 update,1278,"1,278",19,2020-05-09
Arizona,11,1,2020-03-14,Week 20 update,1281,"1,281",20,2020-05-16
Arkansas,11,1,2020-03-14,Week 11 update,451,451,11,2020-03-14
Arkansas,11,1,2020-03-14,Week 12 update,543,543,12,2020-03-21
Arkansas,11,1,2020-03-14,Week 13 update,588,588,13,2020-03-28
Arkansas,11,1,2020-03-14,Week 15 update,601,601,15,2020-04-11
Arkansas,11,1,2020-03-14,Week 16 update,609,609,16,2020-04-18
Arkansas,11,1,2020-03-14,Week 17 update,613,613,17,2020-04-25
Arkansas,11,1,2020-03-14,Week 18 update,618,618,18,2020-05-02
Arkansas,11,1,2020-03-14,Week 19 update,621,621,19,2020-05-09
Arkansas,11,1,2020-03-14,Week 20 update,623,623,20,2020-05-16
California,11,1,2020-03-14,Week 11 update,3906,"3,906",11,2020-03-14
California,11,1,2020-03-14,Week 12 update,5069,"5,069",12,2020-03-21
California,11,1,2020-03-14,Week 13 update,5239,"5,239",13,2020-03-28
California,11,1,2020-03-14,Week 15 update,5304,"5,304",15,2020-04-11
California,11,1,2020-03-14,Week 16 update,5350,"5,350",16,2020-04-18
California,11,1,2020-03-14,Week 17 update,5374,"5,374",17,2020-04-25
California,11,1,2020-03-14,Week 18 update,5384,"5,384",18,2020-05-02
California,11,1,2020-03-14,Week 19 update,5390,"5,390",19,2020-05-09
California,11,1,2020-03-14,Week 20 update,5403,"5,403",20,2020-05-16
Colorado,11,1,2020-03-14,Week 11 update,644,644,11,2020-03-14
Colorado,11,1,2020-03-14,Week 12 update,763,763,12,2020-03-21
Colorado,11,1,2020-03-14,Week 13 update,782,782,13,2020-03-28
Colorado,11,1,2020-03-14,Week 15 update,789,789,15,2020-04-11
Colorado,11,1,2020-03-14,Week 16 update,798,798,16,2020-04-18
Colorado,11,1,2020-03-14,Week 17 update,798,798,17,2020-04-25
Colorado,11,1,2020-03-14,Week 18 update,799,799,18,2020-05-02
Colorado,11,1,2020-03-14,Week 19 update,799,799,19,2020-05-09
Colorado,11,1,2020-03-14,Week 20 update,801,801,20,2020-05-16
Delaware,11,1,2020-03-14,Week 11 update,74,74,11,2020-03-14
Delaware,11,1,2020-03-14,Week 12 update,103,103,12,2020-03-21
Delaware,11,1,2020-03-14,Week 13 update,115,115,13,2020-03-28
Delaware,11,1,2020-03-14,Week 15 update,118,118,15,2020-04-11
Delaware,11,1,2020-03-14,Week 16 update,136,136,16,2020-04-18
Delaware,11,1,2020-03-14,Week 17 update,174,174,17,2020-04-25
Delaware,11,1,2020-03-14,Week 18 update,174,174,18,2020-05-02
Delaware,11,1,2020-03-14,Week 19 update,176,176,19,2020-05-09
Delaware,11,1,2020-03-14,Week 20 update,177,177,20,2020-05-16
District of Columbia,11,1,2020-03-14,Week 11 update,33,33,11,2020-03-14
District of Columbia,11,1,2020-03-14,Week 12 update,63,63,12,2020-03-21
District of Columbia,11,1,2020-03-14,Week 13 update,76,76,13,2020-03-28
District of Columbia,11,1,2020-03-14,Week 15 update,79,79,15,2020-04-11
District of Columbia,11,1,2020-03-14,Week 16 update,79,79,16,2020-04-18
District of Columbia,11,1,2020-03-14,Week 17 update,80,80,17,2020-04-25
District of Columbia,11,1,2020-03-14,Week 18 update,82,82,18,2020-05-02
District of Columbia,11,1,2020-03-14,Week 19 update,82,82,19,2020-05-09
District of Columbia,11,1,2020-03-14,Week 20 update,84,84,20,2020-05-16
Florida,11,1,2020-03-14,Week 11 update,3527,"3,527",11,2020-03-14
Florida,11,1,2020-03-14,Week 12 update,4103,"4,103",12,2020-03-21
Florida,11,1,2020-03-14,Week 13 update,4184,"4,184",13,2020-03-28
Florida,11,1,2020-03-14,Week 15 update,4215,"4,215",15,2020-04-11
Florida,11,1,2020-03-14,Week 16 update,4234,"4,234",16,2020-04-18
Florida,11,1,2020-03-14,Week 17 update,4239,"4,239",17,2020-04-25
Florida,11,1,2020-03-14,Week 18 update,4250,"4,250",18,2020-05-02
Florida,11,1,2020-03-14,Week 19 update,4252,"4,252",19,2020-05-09
Florida,11,1,2020-03-14,Week 20 update,4260,"4,260",20,2020-05-16
Georgia,11,1,2020-03-14,Week 11 update,929,929,11,2020-03-14
Georgia,11,1,2020-03-14,Week 12 update,1347,"1,347",12,2020-03-21
Georgia,11,1,2020-03-14,Week 13 update,1499,"1,499",13,2020-03-28
Georgia,11,1,2020-03-14,Week 15 update,1566,"1,566",15,2020-04-11
Georgia,11,1,2020-03-14,Week 16 update,1612,"1,612",16,2020-04-18
Georgia,11,1,2020-03-14,Week 17 update,1644,"1,644",17,2020-04-25
Georgia,11,1,2020-03-14,Week 18 update,1670,"1,670",18,2020-05-02
Georgia,11,1,2020-03-14,Week 19 update,1686,"1,686",19,2020-05-09
Georgia,11,1,2020-03-14,Week 20 update,1704,"1,704",20,2020-05-16
Hawaii,11,1,2020-03-14,Week 11 update,186,186,11,2020-03-14
Hawaii,11,1,2020-03-14,Week 12 update,225,225,12,2020-03-21
Hawaii,11,1,2020-03-14,Week 13 update,234,234,13,2020-03-28
Hawaii,11,1,2020-03-14,Week 15 update,236,236,15,2020-04-11
Hawaii,11,1,2020-03-14,Week 16 update,238,238,16,2020-04-18
Hawaii,11,1,2020-03-14,Week 17 update,241,241,17,2020-04-25
Hawaii,11,1,2020-03-14,Week 18 update,241,241,18,2020-05-02
Hawaii,11,1,2020-03-14,Week 19 update,242,242,19,2020-05-09
Hawaii,11,1,2020-03-14,Week 20 update,243,243,20,2020-05-16
Idaho,11,1,2020-03-14,Week 11 update,227,227,11,2020-03-14
Idaho,11,1,2020-03-14,Week 12 update,276,276,12,2020-03-21
Idaho,11,1,2020-03-14,Week 13 update,281,281,13,2020-03-28
Idaho,11,1,2020-03-14,Week 15 update,283,283,15,2020-04-11
Idaho,11,1,2020-03-14,Week 16 update,286,286,16,2020-04-18
Idaho,11,1,2020-03-14,Week 17 update,287,287,17,2020-04-25
Idaho,11,1,2020-03-14,Week 18 update,287,287,18,2020-05-02
Idaho,11,1,2020-03-14,Week 19 update,287,287,19,2020-05-09
Idaho,11,1,2020-03-14,Week 20 update,287,287,20,2020-05-16
Illinois,11,1,2020-03-14,Week 11 update,1801,"1,801",11,2020-03-14
Illinois,11,1,2020-03-14,Week 12 update,2131,"2,131",12,2020-03-21
Illinois,11,1,2020-03-14,Week 13 update,2183,"2,183",13,2020-03-28
Illinois,11,1,2020-03-14,Week 15 update,2198,"2,198",15,2020-04-11
Illinois,11,1,2020-03-14,Week 16 update,2212,"2,212",16,2020-04-18
Illinois,11,1,2020-03-14,Week 17 update,2217,"2,217",17,2020-04-25
Illinois,11,1,2020-03-14,Week 18 update,2221,"2,221",18,2020-05-02
Illinois,11,1,2020-03-14,Week 19 update,2225,"2,225",19,2020-05-09
