mmwr_year,mmwr_week,mmwr_day,week_start,state,pred,lpi,upi,obs,unexplained.cases,denom,week_end,type
2020,10,1,2020-03-01,FL,359,321,397,382,23,1.5,2020-03-07,Alzheimer disease and dementia
2020,10,1,2020-03-01,GA,164,139,191,148,-16,1.5,2020-03-07,Alzheimer disease and dementia
2020,10,1,2020-03-01,MI,191,163,219,161,-30,1.5,2020-03-07,Alzheimer disease and dementia
2020,10,1,2020-03-01,NJ,150,126,175,136,-14,1.5,2020-03-07,Alzheimer disease and dementia
2020,10,1,2020-03-01,US,5803,5648,5959,5652,-151,1.5,2020-03-07,Alzheimer disease and dementia
2020,11,1,2020-03-08,FL,354,317,394,346,-8,1.5,2020-03-14,Alzheimer disease and dementia
2020,11,1,2020-03-08,GA,162,137,189,157,-5,1.5,2020-03-14,Alzheimer disease and dementia
2020,11,1,2020-03-08,MI,189,163,218,164,-25,1.5,2020-03-14,Alzheimer disease and dementia
2020,11,1,2020-03-08,NJ,148,124,173,117,-31,1.5,2020-03-14,Alzheimer disease and dementia
2020,11,1,2020-03-08,US,5709,5557,5866,5444,-265,1.5,2020-03-14,Alzheimer disease and dementia
2020,12,1,2020-03-15,FL,350,314,390,378,28,1.5,2020-03-21,Alzheimer disease and dementia
2020,12,1,2020-03-15,GA,160,135,186,137,-23,1.5,2020-03-21,Alzheimer disease and dementia
2020,12,1,2020-03-15,MI,188,161,216,167,-21,1.5,2020-03-21,Alzheimer disease and dementia
2020,12,1,2020-03-15,NJ,145,121,170,137,-8,1.5,2020-03-21,Alzheimer disease and dementia
2020,12,1,2020-03-15,US,5614,5465,5764,5628,14,1.5,2020-03-21,Alzheimer disease and dementia
2020,13,1,2020-03-22,FL,347,310,385,371,24,1.5,2020-03-28,Alzheimer disease and dementia
2020,13,1,2020-03-22,GA,157,132,183,152,-5,1.5,2020-03-28,Alzheimer disease and dementia
2020,13,1,2020-03-22,MI,186,158,214,190,4,1.5,2020-03-28,Alzheimer disease and dementia
2020,13,1,2020-03-22,NJ,142,118,167,183,41,1.5,2020-03-28,Alzheimer disease and dementia
2020,13,1,2020-03-22,US,5522,5371,5672,5973,451,1.5,2020-03-28,Alzheimer disease and dementia
2020,14,1,2020-03-29,FL,343,306,381,353,10,1.5,2020-04-04,Alzheimer disease and dementia
2020,14,1,2020-03-29,GA,155,131,180,198,43,1.5,2020-04-04,Alzheimer disease and dementia
2020,14,1,2020-03-29,MI,183,156,212,254,71,1.5,2020-04-04,Alzheimer disease and dementia
2020,14,1,2020-03-29,NJ,139,117,165,269,130,1.5,2020-04-04,Alzheimer disease and dementia
2020,14,1,2020-03-29,US,5435,5287.975,5586,6476,1041,1.5,2020-04-04,Alzheimer disease and dementia
2020,15,1,2020-04-05,FL,340,304,379,381,41,1.5,2020-04-11,Alzheimer disease and dementia
2020,15,1,2020-04-05,GA,152,128,178,205,53,1.5,2020-04-11,Alzheimer disease and dementia
2020,15,1,2020-04-05,MI,180,154,208,297,117,1.5,2020-04-11,Alzheimer disease and dementia
2020,15,1,2020-04-05,NJ,136,113,161,313,177,1.5,2020-04-11,Alzheimer disease and dementia
2020,15,1,2020-04-05,US,5352,5207,5502,6764,1412,1.5,2020-04-11,Alzheimer disease and dementia
2020,16,1,2020-04-12,FL,338,301,376,376,38,1.5,2020-04-18,Alzheimer disease and dementia
2020,16,1,2020-04-12,GA,150,125,175,190,40,1.5,2020-04-18,Alzheimer disease and dementia
2020,16,1,2020-04-12,MI,177,150,205,245,68,1.5,2020-04-18,Alzheimer disease and dementia
2020,16,1,2020-04-12,NJ,133,110,157,344,211,1.5,2020-04-18,Alzheimer disease and dementia
2020,16,1,2020-04-12,US,5276,5129,5425,6651,1375,1.5,2020-04-18,Alzheimer disease and dementia
2020,17,1,2020-04-19,FL,336,299,373.02499999999964,406,70,1.5,2020-04-25,Alzheimer disease and dementia
2020,17,1,2020-04-19,GA,148,124,173,219,71,1.5,2020-04-25,Alzheimer disease and dementia
2020,17,1,2020-04-19,MI,174,148,201,220,46,1.5,2020-04-25,Alzheimer disease and dementia
2020,17,1,2020-04-19,NJ,130,108,154,282,152,1.5,2020-04-25,Alzheimer disease and dementia
2020,17,1,2020-04-19,US,5206,5058,5355,6516,1310,1.5,2020-04-25,Alzheimer disease and dementia
2020,18,1,2020-04-26,FL,335,298,373,355,20,1.5,2020-05-02,Alzheimer disease and dementia
2020,18,1,2020-04-26,GA,146,122,171,195,49,1.5,2020-05-02,Alzheimer disease and dementia
2020,18,1,2020-04-26,MI,170,144.97500000000002,198,231,61,1.5,2020-05-02,Alzheimer disease and dementia
2020,18,1,2020-04-26,NJ,127,105,152,224,97,1.5,2020-05-02,Alzheimer disease and dementia
2020,18,1,2020-04-26,US,5140,5000,5287.025,6181,1041,1.5,2020-05-02,Alzheimer disease and dementia
2020,19,1,2020-05-03,FL,333,297,372,366,33,1.5,2020-05-09,Alzheimer disease and dementia
2020,19,1,2020-05-03,GA,144,119,169,212,68,1.5,2020-05-09,Alzheimer disease and dementia
