type,age group,year,month,N,Pop,Crude Rate,LCL,UCL,total_all_causes,percent
total/all causes,all ages,2018,Jan,"3,695","5,695,073",778.57,753.56,803.57,"3,695",100
total/all causes,all ages,2018,Feb,"3,146","5,695,073",662.89,639.8,685.98,"3,146",100
total/all causes,all ages,2018,Mar,"3,440","5,695,073",724.84,700.7,748.97,"3,440",100
total/all causes,all ages,2018,Apr,"3,230","5,695,073",680.59,657.2,703.98,"3,230",100
total/all causes,all ages,2018,May,"3,180","5,695,073",670.05,646.84,693.26,"3,180",100
total/all causes,all ages,2018,Jun,"2,880","5,695,073",606.84,584.74,628.94,"2,880",100
total/all causes,all ages,2018,Jul,"3,008","5,695,073",633.81,611.23,656.39,"3,008",100
total/all causes,all ages,2018,Aug,"3,150","5,695,073",663.73,640.63,686.83,"3,150",100
total/all causes,all ages,2018,Sep,"2,975","5,695,073",626.86,604.4,649.31,"2,975",100
total/all causes,all ages,2018,Oct,"3,211","5,695,073",676.58,653.26,699.91,"3,211",100
total/all causes,all ages,2018,Nov,"3,179","5,695,073",669.84,646.63,693.05,"3,179",100
total/all causes,all ages,2018,Dec,"3,357","5,695,073",707.35,683.5,731.19,"3,357",100
total/all causes,all ages,2019,Jan,"3,546","5,761,907",738.51,714.29,762.72,"3,546",100
total/all causes,all ages,2019,Feb,"3,179","5,761,907",662.07,639.13,685.01,"3,179",100
total/all causes,all ages,2019,Mar,"3,538","5,761,907",736.84,712.65,761.03,"3,538",100
total/all causes,all ages,2019,Apr,"3,223","5,761,907",671.24,648.14,694.33,"3,223",100
total/all causes,all ages,2019,May,"3,307","5,761,907",688.73,665.34,712.12,"3,307",100
total/all causes,all ages,2019,Jun,"3,109","5,761,907",647.49,624.81,670.18,"3,109",100
total/all causes,all ages,2019,Jul,"3,128","5,761,907",651.45,628.7,674.21,"3,128",100
total/all causes,all ages,2019,Aug,"3,081","5,761,907",641.66,619.08,664.25,"3,081",100
total/all causes,all ages,2019,Sep,"3,092","5,761,907",643.95,621.33,666.58,"3,092",100
total/all causes,all ages,2019,Oct,"3,355","5,761,907",698.73,675.17,722.29,"3,355",100
total/all causes,all ages,2019,Nov,"3,249","5,761,907",676.65,653.46,699.84,"3,249",100
total/all causes,all ages,2019,Dec,"3,506","5,761,907",730.17,706.09,754.26,"3,506",100
total/all causes,all ages,2020,Jan,"3,657","5,907,198",742.89,718.9,766.88,"3,657",100
total/all causes,all ages,2020,Feb,"3,454","5,907,198",701.65,678.33,724.97,"3,454",100
total/all causes,all ages,2020,Mar,"3,733","5,907,198",758.33,734.09,782.56,"3,733",100
total/all causes,all ages,2020,Apr,"4,530","5,907,198",920.23,893.56,946.91,"4,530",100
total/all causes,all ages,2020,May,"3,783","5,907,198",768.49,744.09,792.88,"3,783",100
total/all causes,all ages,2020,Jun,"3,470","5,907,198",704.9,681.53,728.27,"3,470",100
total/all causes,all ages,2020,Jul,"1,500","5,907,198",304.71,289.32,320.11,"1,500",100
total/all causes,all ages,2020,Aug,0,"5,907,198",0,0,0,0,*
total/all causes,all ages,2020,Sep,0,"5,907,198",0,0,0,0,*
total/all causes,all ages,2020,Oct,0,"5,907,198",0,0,0,0,*
total/all causes,all ages,2020,Nov,0,"5,907,198",0,0,0,0,*
total/all causes,all ages,2020,Dec,0,"5,907,198",0,0,0,0,*
total/all causes,10_18,2018,Jan,17,"667,117",30.58,16.05,45.11,17,100
total/all causes,10_18,2018,Feb,18,"667,117",32.38,17.42,47.33,18,100
total/all causes,10_18,2018,Mar,19,"667,117",34.18,18.81,49.54,19,100
total/all causes,10_18,2018,Apr,16,"667,117",28.78,14.68,42.88,16,100
total/all causes,10_18,2018,May,13,"667,117",23.38,10.67,36.09,13,100
total/all causes,10_18,2018,Jun,21,"667,117",37.77,21.62,53.93,21,100
total/all causes,10_18,2018,Jul,27,"667,117",48.57,30.25,66.88,27,100
total/all causes,10_18,2018,Aug,9,"667,117",16.19,5.61,26.77,9,100
total/all causes,10_18,2018,Sep,14,"667,117",25.18,11.99,38.37,14,100
total/all causes,10_18,2018,Oct,21,"667,117",37.77,21.62,53.93,21,100
total/all causes,10_18,2018,Nov,13,"667,117",23.38,10.67,36.09,13,100
total/all causes,10_18,2018,Dec,13,"667,117",23.38,10.67,36.09,13,100
total/all causes,10_18,2019,Jan,22,"668,842",39.47,22.98,55.96,22,100
total/all causes,10_18,2019,Feb,16,"668,842",28.71,14.64,42.77,16,100
total/all causes,10_18,2019,Mar,16,"668,842",28.71,14.64,42.77,16,100
total/all causes,10_18,2019,Apr,18,"668,842",32.29,17.38,47.21,18,100
total/all causes,10_18,2019,May,21,"668,842",37.68,21.57,53.79,21,100
total/all causes,10_18,2019,Jun,19,"668,842",34.09,18.76,49.41,19,100
total/all causes,10_18,2019,Jul,23,"668,842",41.27,24.4,58.13,23,100
