under 25,25 to 44,45 to 64,65 to 74,75 to 84,85 and older,week_start,week_end
0,1,0,2,2,1,3/22/20,3/28/20
0,1,4,8,18,12,3/29/20,4/4/20
0,2,11,12,16,14,4/5/20,4/11/20
0,0,15,32,45,41,4/12/20,4/18/20
0,1,15,24,37,42,4/19/20,4/25/20
0,4,14,22,36,41,4/26/20,5/2/20
1,1,19,26,39,37,5/3/20,5/9/20
0,3,19,22,27,33,5/10/20,5/16/20
0,6,16,18,45,35,5/17/20,5/23/20
1,8,27,35,36,55,5/24/20,5/30/20
1,3,20,24,38,38,5/31/20,6/6/20
0,4,23,19,25,34,6/7/20,6/13/20
0,4,27,21,27,18,6/14/20,6/20/20
0,6,28,15,24,24,6/21/20,6/27/20
0,3,23,22,22,22,6/28/20,7/4/20
0,3,27,17,29,30,7/5/20,7/11/20
0,4,23,42,28,26,7/12/20,7/18/20
0,4,23,46,37,32,7/19/20,7/25/20
0,1,18,33,36,21,7/26/20,8/1/20
