State,Week Ending Date,Predicted (weighted),Unweighted,EstimatedCompletenessfrom2019
Alabama,1/4/20,1076,1076,100.0%
Alabama,1/11/20,1123,1123,100.0%
Alabama,1/18/20,1037,1037,100.0%
Alabama,1/25/20,1057,1050,99.3%
Alabama,2/1/20,1028,1021,99.3%
Alabama,2/8/20,1122,1114,99.3%
Alabama,2/15/20,1096,1088,99.3%
Alabama,2/22/20,1099,1091,99.3%
Alabama,2/29/20,1165,1156,99.2%
Alabama,3/7/20,1059,1051,99.2%
Alabama,3/14/20,1089,1081,99.3%
Alabama,3/21/20,1056,1047,99.1%
Alabama,3/28/20,1067,1057,99.1%
Alabama,4/4/20,1151,1140,99.0%
Alabama,4/11/20,1132,1120,98.9%
Alabama,4/18/20,1141,1127,98.8%
Alabama,4/25/20,1138,1122,98.6%
Alabama,5/2/20,1136,1118,98.4%
Alabama,5/9/20,1164,1142,98.1%
Alabama,5/16/20,1135,1108,97.6%
Alabama,5/23/20,1154,1120,97.1%
Alabama,5/30/20,1091,1049,96.2%
Alabama,6/6/20,1140,1082,94.9%
Alabama,6/13/20,1092,1013,92.8%
Alabama,6/20/20,1013,901,88.9%
Alabama,6/27/20,973,793,81.5%
Alabama,7/4/20,842,566,67.2%
Alaska,1/4/20,89,89,100.0%
Alaska,1/11/20,105,105,100.0%
Alaska,1/18/20,99,99,100.0%
Alaska,1/25/20,100,97,97.0%
Alaska,2/1/20,86,84,97.7%
Alaska,2/8/20,98,95,96.9%
Alaska,2/15/20,90,88,97.8%
Alaska,2/22/20,85,83,97.6%
Alaska,2/29/20,85,83,97.6%
Alaska,3/7/20,80,78,97.5%
Alaska,3/14/20,95,92,96.8%
Alaska,3/21/20,70,68,97.1%
Alaska,3/28/20,88,85,96.6%
Alaska,4/4/20,100,97,97.0%
Alaska,4/11/20,85,82,96.5%
Alaska,4/18/20,83,80,96.4%
Alaska,4/25/20,63,61,96.8%
Alaska,5/2/20,88,84,95.5%
Alaska,5/9/20,89,85,95.5%
Alaska,5/16/20,84,79,94.0%
Alaska,5/23/20,81,75,92.6%
Alaska,5/30/20,92,84,91.3%
Alaska,6/6/20,78,68,87.2%
Alaska,6/13/20,85,70,82.4%
Alaska,6/20/20,76,57,75.0%
Alaska,6/27/20,65,,0.0%
Alaska,7/4/20,66,,0.0%
Arizona,1/4/20,1298,1298,100.0%
Arizona,1/11/20,1389,1389,100.0%
Arizona,1/18/20,1314,1313,99.9%
Arizona,1/25/20,1280,1274,99.5%
Arizona,2/1/20,1269,1263,99.5%
Arizona,2/8/20,1267,1261,99.5%
Arizona,2/15/20,1316,1309,99.5%
Arizona,2/22/20,1344,1337,99.5%
Arizona,2/29/20,1357,1350,99.5%
Arizona,3/7/20,1382,1375,99.5%
Arizona,3/14/20,1353,1346,99.5%
Arizona,3/21/20,1292,1285,99.5%
Arizona,3/28/20,1327,1320,99.5%
Arizona,4/4/20,1361,1354,99.5%
Arizona,4/11/20,1407,1399,99.4%
Arizona,4/18/20,1317,1309,99.4%
Arizona,4/25/20,1384,1376,99.4%
Arizona,5/2/20,1401,1391,99.3%
Arizona,5/9/20,1437,1422,99.0%
Arizona,5/16/20,1312,1292,98.5%
Arizona,5/23/20,1292,1267,98.1%
Arizona,5/30/20,1313,1286,97.9%
Arizona,6/6/20,1411,1378,97.7%
Arizona,6/13/20,1453,1411,97.1%
Arizona,6/20/20,1486,1413,95.1%
Arizona,6/27/20,1379,1226,88.9%
Arizona,7/4/20,1325,1006,75.9%
Arkansas,1/4/20,673,673,100.0%
Arkansas,1/11/20,685,685,100.0%
Arkansas,1/18/20,657,657,100.0%
Arkansas,1/25/20,622,617,99.2%
Arkansas,2/1/20,684,678,99.1%
Arkansas,2/8/20,678,672,99.1%
Arkansas,2/15/20,694,688,99.1%
Arkansas,2/22/20,701,695,99.1%
Arkansas,2/29/20,662,656,99.1%
Arkansas,3/7/20,702,696,99.1%
Arkansas,3/14/20,633,627,99.1%
Arkansas,3/21/20,640,634,99.1%
Arkansas,3/28/20,645,639,99.1%
Arkansas,4/4/20,612,606,99.0%
Arkansas,4/11/20,639,633,99.1%
Arkansas,4/18/20,640,634,99.1%
Arkansas,4/25/20,616,610,99.0%
Arkansas,5/2/20,631,624,98.9%
Arkansas,5/9/20,666,658,98.8%
Arkansas,5/16/20,584,576,98.6%
Arkansas,5/23/20,645,634,98.3%
Arkansas,5/30/20,614,601,97.9%
Arkansas,6/6/20,653,634,97.1%
Arkansas,6/13/20,653,626,95.9%
Arkansas,6/20/20,686,641,93.4%
Arkansas,6/27/20,573,504,88.0%
Arkansas,7/4/20,445,339,76.2%
California,1/4/20,5886,5884,100.0%
California,1/11/20,5866,5865,100.0%
California,1/18/20,5825,5823,100.0%
California,1/25/20,5846,5825,99.6%
California,2/1/20,5698,5678,99.6%
California,2/8/20,5929,5907,99.6%
California,2/15/20,5598,5578,99.6%
California,2/22/20,5815,5794,99.6%
California,2/29/20,5695,5673,99.6%
California,3/7/20,5744,5721,99.6%
California,3/14/20,5475,5453,99.6%
California,3/21/20,5689,5666,99.6%
California,3/28/20,5704,5680,99.6%
California,4/4/20,5993,5966,99.5%
California,4/11/20,6059,6031,99.5%
California,4/18/20,6147,6116,99.5%
California,4/25/20,5940,5909,99.5%
California,5/2/20,5753,5720,99.4%
California,5/9/20,5676,5638,99.3%
California,5/16/20,5697,5649,99.2%
California,5/23/20,5540,5482,99.0%
California,5/30/20,5591,5520,98.7%
California,6/6/20,5472,5388,98.5%
California,6/13/20,5494,5380,97.9%
California,6/20/20,5208,5031,96.6%
California,6/27/20,4835,4334,89.6%
California,7/4/20,4064,3308,81.4%
Colorado,1/4/20,854,854,100.0%
Colorado,1/11/20,873,873,100.0%
Colorado,1/18/20,848,848,100.0%
Colorado,1/25/20,857,852,99.4%
Colorado,2/1/20,795,791,99.5%
Colorado,2/8/20,849,844,99.4%
Colorado,2/15/20,811,807,99.5%
Colorado,2/22/20,885,880,99.4%
Colorado,2/29/20,847,842,99.4%
Colorado,3/7/20,827,820,99.2%
Colorado,3/14/20,826,818,99.0%
Colorado,3/21/20,897,889,99.1%
Colorado,3/28/20,865,857,99.1%
Colorado,4/4/20,976,967,99.1%
Colorado,4/11/20,1106,1095,99.0%
Colorado,4/18/20,1110,1099,99.0%
Colorado,4/25/20,1076,1065,99.0%
Colorado,5/2/20,1005,994,98.9%
Colorado,5/9/20,913,903,98.9%
Colorado,5/16/20,892,882,98.9%
Colorado,5/23/20,851,841,98.8%
