week,week_end_date,year,all_cause_deaths,expected_all_cause,expected_all_cause_upper,expected_all_cause_lower,excess_all_cause_deaths,covid19.nchs
1,2020-01-04,2020,57345,57622,58236,57069.975,-277,0
2,2020-01-11,2020,57891,57768,58370,57187,123,0
3,2020-01-18,2020,56540,57911,58551.05,57330.975,-1371,0
4,2020-01-25,2020,55970,58083,58725,57484,-2113,0
5,2020-02-01,2020,55517,58112,58781,57515.975,-2595,11
6,2020-02-08,2020,56078,58007,58645.05,57381,-1929,69
7,2020-02-15,2020,55218,57677.5,58317,57057.95,-2459.5,0
8,2020-02-22,2020,55298,57194,57843,56580,-1896,150
9,2020-02-29,2020,55658,56634,57259,56009,-976,5
10,2020-03-07,2020,55875,55984,56609,55377,-109,144
11,2020-03-14,2020,54808,55345,55967.025,54764,-537,266
12,2020-03-21,2020,55395,54622,55243.025,54037,773,626
13,2020-03-28,2020,59515,53978,54609.025,53407,5537,2852
14,2020-04-04,2020,68209,53366,53990.025,52781,14843,8997
15,2020-04-11,2020,74715,52764,53380.025,52171,21951,14906
16,2020-04-18,2020,71962,52175,52793,51587,19787,15220
17,2020-04-25,2020,68180,51583,52206,50999.975,16597,13038
18,2020-05-02,2020,63685,50980,51608.025,50405,12705,10659
19,2020-05-09,2020,62028,50342,50973,49767.975,11686,9864
20,2020-05-16,2020,59363,49594,50207.025,49026,9769,8016
21,2020-05-23,2020,55836,48583,49190.025,48008,7253,6132
22,2020-05-30,2020,52713,46941,47541.025,46392,5772,5007
23,2020-06-06,2020,48989,43616,44178,43090.975,5373,3714
24,2020-06-13,2020,39737,35673,36136,35209.975,4064,2002
