X1,state,week_end_date,week_start_date,baseline_all_cause,baseline_all_cause_lower,baseline_all_cause_upper,all_cause_deaths,excess_all_cause_deaths,covid19.nchs,year,week,day,baseline_pi,baseline_pi_lower,baseline_pi_upper,pneumonia_influenza_covid,excess_pneumonia_influenza_covid,pic.denom,date,testN,covid.track.death,pop2019,test.week.per.capita,week_end,lag,quantile_rank,type_of_order,restrictions,Last checked,restriction_type,adjusted_expected,adjusted_expected_minus_covid
220,AK,2020-01-04,2019-12-29,92,73,113,89,-3,0,2020,1,1,5,1,10,5,0,89.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-3,-3
221,AK,2020-01-11,2020-01-05,92,74,113,105,13,0,2020,2,1,6,2,12,4,-2,105.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,13,13
222,AK,2020-01-18,2020-01-12,92,73,113,98,6,0,2020,3,1,5,1,11,5,0,98.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,6,6
223,AK,2020-01-25,2020-01-19,92,73,112,97,5,0,2020,4,1,5,1,10,2,-3,97.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,5,5
224,AK,2020-02-01,2020-01-26,91,72,111,83,-8,0,2020,5,1,5,1,10,4,-1,83.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-8,-8
225,AK,2020-02-08,2020-02-02,90,72,110,92,2,0,2020,6,1,5,1,11,4,-1,92.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,2,2
226,AK,2020-02-15,2020-02-09,89,70,109,88,-1,0,2020,7,1,5,1,11,0,-5,88.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-1,-1
227,AK,2020-02-22,2020-02-16,87,69,108,83,-4,0,2020,8,1,5,1,10,6,1,83.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-4,-4
228,AK,2020-02-29,2020-02-23,86,68,106,79,-7,0,2020,9,1,5,1,10,6,1,79.5,,,,,,,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-7,-7
229,AK,2020-03-07,2020-03-01,85,67,105,78,-7,0,2020,10,1,5,1,10,2,-3,78.5,2020-03-01,4,0,731545,0.00546787962463006,2020-03-07,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-7,-7
230,AK,2020-03-14,2020-03-08,84,66,104,90,6,0,2020,11,1,6,2,12,7,1,90.5,2020-03-08,132,0,731545,0.180440027612792,2020-03-14,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,6,6
231,AK,2020-03-21,2020-03-15,83,65,102,66,-17,0,2020,12,1,4,1,9,9,5,66.5,2020-03-15,628,0,731545,0.85845710106692,2020-03-21,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-17,-17
232,AK,2020-03-28,2020-03-22,81,64,100,80,-1,2,2020,13,1,5,1,10,10,5,80.5,2020-03-22,2149,2,731545,2.9376183283325,2020-03-28,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-1,-3
233,AK,2020-04-04,2020-03-29,80,63,99,94,14,3,2020,14,1,6,2,12,8,2,94.5,2020-03-29,3119,3,731545,4.26357913730529,2020-04-04,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,14,11
234,AK,2020-04-11,2020-04-05,79,62,98,76,-3,3,2020,15,1,5,1,10,4,-1,76.5,2020-04-05,1692,3,731545,2.31291308121852,2020-04-11,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-3,-6
235,AK,2020-04-18,2020-04-12,77,60,96,70,-7,1,2020,16,1,4,1,9,3,-1,70.5,2020-04-12,1923,1,731545,2.6286831295409,2020-04-18,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-7,-8
236,AK,2020-04-25,2020-04-19,73,56,90,55,-18,0,2020,17,1,3,0,7,3,0,55.5,2020-04-19,6077,0,731545,8.30707611971922,2020-04-25,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,-18,-18
237,AK,2020-05-02,2020-04-26,66,50,84,72,6,0,2020,18,1,4,1,9,1,-3,72.5,2020-04-26,5667,0,731545,7.74661845819464,2020-05-02,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,6,6
238,AK,2020-05-09,2020-05-03,54,40,69,56,2,1,2020,19,1,3,0,7,1,-2,56.5,2020-05-03,5050,1,731545,6.90319802609546,2020-05-09,0.726344884556485,1,Statewide physical distancing mandate,none,5/13/20,none,2,1
461,AL,2020-01-04,2019-12-29,1110,1044,1180,1075,-35,0,2020,1,1,71,54,89,71,0,1075.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-35,-35
462,AL,2020-01-11,2020-01-05,1115,1049,1186,1123,8,0,2020,2,1,75,58,93,90,15,1123.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,8,8
463,AL,2020-01-18,2020-01-12,1115,1049,1186,1033,-82,0,2020,3,1,67,51,85,67,0,1033.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-82,-82
464,AL,2020-01-25,2020-01-19,1117,1050,1185,1046,-71,0,2020,4,1,69,53,87,73,4,1046.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-71,-71
465,AL,2020-02-01,2020-01-26,1117,1049,1186,1019,-98,0,2020,5,1,68,52,85,70,2,1019.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-98,-98
466,AL,2020-02-08,2020-02-02,1113,1044,1181,1108,-5,0,2020,6,1,74,57,91,71,-3,1108.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-5,-5
467,AL,2020-02-15,2020-02-09,1104,1037,1171,1080,-24,0,2020,7,1,71,54,88,81,10,1080.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-24,-24
468,AL,2020-02-22,2020-02-16,1088,1023,1157,1082,-6,0,2020,8,1,68,51,85,72,4,1082.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-6,-6
469,AL,2020-02-29,2020-02-23,1075,1009,1142.025,1144,69,0,2020,9,1,68,52,86,77,9,1144.5,,,,,,,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,69,69
470,AL,2020-03-07,2020-03-01,1059,994,1125.025,1035,-24,0,2020,10,1,59,45,76,70,11,1035.5,2020-03-01,0,0,4903185,0,2020-03-07,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,-24,-24
471,AL,2020-03-14,2020-03-08,1046,981,1112,1064,18,0,2020,11,1,59,44,76,67,8,1064.5,2020-03-08,28,0,4903185,0.00571057384128888,2020-03-14,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,18,18
472,AL,2020-03-21,2020-03-15,1032,966,1100,1037,5,7,2020,12,1,56,41,72,79,23,1037.5,2020-03-15,124,0,4903185,0.0252896841542793,2020-03-21,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,5,-2
473,AL,2020-03-28,2020-03-22,1017,954,1082,1038,21,22,2020,13,1,54,40,70,91,37,1038.5,2020-03-22,4728,3,4903185,0.964271182914779,2020-03-28,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,21,-1
474,AL,2020-04-04,2020-03-29,1003,938,1068,1121,118,49,2020,14,1,57,42.975,73,105,48,1121.5,2020-03-29,5973,40,4903185,1.21818776978637,2020-04-04,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,118,69
475,AL,2020-04-11,2020-04-05,987,924,1052,1096,109,80,2020,15,1,54,40,70,140,86,1096.5,2020-04-05,10396,48,4903185,2.12025448764426,2020-04-11,0.879932137054781,1,Statewide stay-at-home order,minor,5/21/20,minor,109,29
