state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,60,1,2018-19,1
AL,2019-01-12,49,2,2018-19,1
AL,2019-01-19,48,3,2018-19,1
AL,2019-01-26,50,4,2018-19,1
AL,2019-02-02,52,5,2018-19,1
AL,2019-02-09,56,6,2018-19,1
AL,2019-02-16,51,7,2018-19,1
AL,2019-02-23,52,8,2018-19,1
AL,2019-03-02,52,9,2018-19,1
AL,2019-03-09,50,10,2018-19,1
AL,2019-03-16,60,11,2018-19,1
AL,2019-03-23,48,12,2018-19,1
AL,2019-03-30,52,13,2018-19,1
AL,2019-04-06,43,14,2018-19,1
AL,2019-04-13,46,15,2018-19,1
AL,2019-04-20,50,16,2018-19,1
AL,2019-04-27,39,17,2018-19,1
AL,2019-05-04,47,18,2018-19,1
AL,2019-05-11,48,19,2018-19,1
AL,2019-05-18,51,20,2018-19,1
AL,2019-05-25,45,21,2018-19,1
AL,2019-06-01,56,22,2018-19,1
AL,2019-06-08,55,23,2018-19,1
AL,2019-06-15,43,24,2018-19,1
AL,2019-06-22,45,25,2018-19,1
AL,2019-06-29,49,26,2018-19,1
AL,2019-07-06,48,27,2018-19,1
AL,2019-07-13,58,28,2018-19,1
AL,2019-07-20,40,29,2018-19,1
AL,2019-07-27,49,30,2018-19,1
AL,2020-01-04,54,1,2019-20,1
AL,2020-01-11,41,2,2019-20,1
AL,2020-01-18,53,3,2019-20,1
AL,2020-01-25,54,4,2019-20,1
AL,2020-02-01,58,5,2019-20,1
AL,2020-02-08,45,6,2019-20,1
AL,2020-02-15,50,7,2019-20,1
AL,2020-02-22,47,8,2019-20,1
AL,2020-02-29,62,9,2019-20,1
AL,2020-03-07,65,10,2019-20,1
AL,2020-03-14,65,11,2019-20,1
AL,2020-03-21,46,12,2019-20,1
AL,2020-03-28,66,13,2019-20,1
AL,2020-04-04,72,14,2019-20,1
AL,2020-04-11,63,15,2019-20,1
AL,2020-04-18,62,16,2019-20,1
AL,2020-04-25,54,17,2019-20,1
AL,2020-05-02,57,18,2019-20,1
AL,2020-05-09,45,19,2019-20,1
AL,2020-05-16,46,20,2019-20,1
AL,2020-05-23,63,21,2019-20,1
AL,2020-05-30,53,22,2019-20,1
AL,2020-06-06,47,23,2019-20,1
AL,2020-06-13,53,24,2019-20,1
AL,2020-06-20,48,25,2019-20,1
AL,2020-06-27,58,26,2019-20,1
AL,2020-07-04,58,27,2019-20,1
AL,2020-07-11,57,28,2019-20,1
AL,2020-07-18,57,29,2019-20,1
AL,2020-07-25,52,30,2019-20,1
AK,2019-03-02,0,9,2018-19,1
AK,2020-02-29,0,9,2019-20,1
AK,2020-03-14,0,11,2019-20,1
