state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,53,1,2018-19,1
AL,2019-01-12,65,2,2018-19,1
AL,2019-01-19,53,3,2018-19,1
AL,2019-01-26,56,4,2018-19,1
AL,2019-02-02,50,5,2018-19,1
AL,2019-02-09,59,6,2018-19,1
AL,2019-02-16,56,7,2018-19,1
AL,2019-02-23,52,8,2018-19,1
AL,2019-03-02,56,9,2018-19,1
AL,2019-03-09,63,10,2018-19,1
AL,2019-03-16,57,11,2018-19,1
AL,2019-03-23,62,12,2018-19,1
AL,2019-03-30,67,13,2018-19,1
AL,2019-04-06,64,14,2018-19,1
AL,2019-04-13,51,15,2018-19,1
AL,2019-04-20,59,16,2018-19,1
AL,2019-04-27,59,17,2018-19,1
AL,2019-05-04,54,18,2018-19,1
AL,2019-05-11,55,19,2018-19,1
AL,2019-05-18,54,20,2018-19,1
AL,2019-05-25,64,21,2018-19,1
AL,2019-06-01,64,22,2018-19,1
AL,2019-06-08,57,23,2018-19,1
AL,2019-06-15,57,24,2018-19,1
AL,2019-06-22,61,25,2018-19,1
AL,2019-06-29,44,26,2018-19,1
AL,2019-07-06,60,27,2018-19,1
AL,2019-07-13,52,28,2018-19,1
AL,2019-07-20,49,29,2018-19,1
AL,2019-07-27,60,30,2018-19,1
AL,2020-01-04,81,1,2019-20,1
AL,2020-01-11,68,2,2019-20,1
AL,2020-01-18,45,3,2019-20,1
AL,2020-01-25,70,4,2019-20,1
AL,2020-02-01,55,5,2019-20,1
AL,2020-02-08,52,6,2019-20,1
AL,2020-02-15,81,7,2019-20,1
AL,2020-02-22,74,8,2019-20,1
AL,2020-02-29,60,9,2019-20,1
AL,2020-03-07,57,10,2019-20,1
AL,2020-03-14,68,11,2019-20,1
AL,2020-03-21,71,12,2019-20,1
AL,2020-03-28,67,13,2019-20,1
AL,2020-04-04,67,14,2019-20,1
AL,2020-04-11,64,15,2019-20,1
AL,2020-04-18,62,16,2019-20,1
AL,2020-04-25,63,17,2019-20,1
AL,2020-05-02,62,18,2019-20,1
AL,2020-05-09,51,19,2019-20,1
AL,2020-05-16,49,20,2019-20,1
AL,2020-05-23,53,21,2019-20,1
AL,2020-05-30,47,22,2019-20,1
AL,2020-06-06,55,23,2019-20,1
AL,2020-06-13,57,24,2019-20,1
AL,2020-06-20,53,25,2019-20,1
AL,2020-06-27,61,26,2019-20,1
AL,2020-07-04,48,27,2019-20,1
AL,2020-07-11,65,28,2019-20,1
AL,2020-07-18,49,29,2019-20,1
AL,2020-07-25,47,30,2019-20,1
AK,2020-04-25,0,17,2019-20,1
AZ,2019-01-05,59,1,2018-19,1
AZ,2019-01-12,59,2,2018-19,1
AZ,2019-01-19,70,3,2018-19,1
AZ,2019-01-26,53,4,2018-19,1
AZ,2019-02-02,74,5,2018-19,1
AZ,2019-02-09,55,6,2018-19,1
AZ,2019-02-16,74,7,2018-19,1
AZ,2019-02-23,60,8,2018-19,1
AZ,2019-03-02,58,9,2018-19,1
AZ,2019-03-09,64,10,2018-19,1
AZ,2019-03-16,64,11,2018-19,1
AZ,2019-03-23,63,12,2018-19,1
AZ,2019-03-30,63,13,2018-19,1
AZ,2019-04-06,69,14,2018-19,1
AZ,2019-04-13,82,15,2018-19,1
AZ,2019-04-20,46,16,2018-19,1
AZ,2019-04-27,56,17,2018-19,1
AZ,2019-05-04,54,18,2018-19,1
AZ,2019-05-11,42,19,2018-19,1
AZ,2019-05-18,44,20,2018-19,1
AZ,2019-05-25,44,21,2018-19,1
AZ,2019-06-01,58,22,2018-19,1
AZ,2019-06-08,44,23,2018-19,1
AZ,2019-06-15,50,24,2018-19,1
AZ,2019-06-22,63,25,2018-19,1
AZ,2019-06-29,54,26,2018-19,1
AZ,2019-07-06,39,27,2018-19,1
AZ,2019-07-13,51,28,2018-19,1
AZ,2019-07-20,52,29,2018-19,1
AZ,2019-07-27,47,30,2018-19,1
AZ,2020-01-04,55,1,2019-20,1
AZ,2020-01-11,64,2,2019-20,1
AZ,2020-01-18,66,3,2019-20,1
AZ,2020-01-25,58,4,2019-20,1
AZ,2020-02-01,63,5,2019-20,1
AZ,2020-02-08,63,6,2019-20,1
AZ,2020-02-15,71,7,2019-20,1
AZ,2020-02-22,65,8,2019-20,1
AZ,2020-02-29,71,9,2019-20,1
AZ,2020-03-07,73,10,2019-20,1
AZ,2020-03-14,71,11,2019-20,1
AZ,2020-03-21,64,12,2019-20,1
AZ,2020-03-28,61,13,2019-20,1
AZ,2020-04-04,55,14,2019-20,1
AZ,2020-04-11,69,15,2019-20,1
AZ,2020-04-18,48,16,2019-20,1
AZ,2020-04-25,63,17,2019-20,1
AZ,2020-05-02,72,18,2019-20,1
AZ,2020-05-09,60,19,2019-20,1
AZ,2020-05-16,52,20,2019-20,1
AZ,2020-05-23,67,21,2019-20,1
AZ,2020-05-30,61,22,2019-20,1
AZ,2020-06-06,58,23,2019-20,1
AZ,2020-06-13,54,24,2019-20,1
AZ,2020-06-20,64,25,2019-20,1
AZ,2020-06-27,60,26,2019-20,1
AZ,2020-07-04,64,27,2019-20,1
AZ,2020-07-11,58,28,2019-20,1
AZ,2020-07-18,55,29,2019-20,1
AZ,2020-07-25,50,30,2019-20,1
AR,2019-01-05,27,1,2018-19,1
AR,2019-01-12,30,2,2018-19,1
AR,2019-01-19,37,3,2018-19,1
AR,2019-01-26,28,4,2018-19,1
AR,2019-02-02,31,5,2018-19,1
