state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,63,1,2018-19,1
AL,2019-01-12,85,2,2018-19,1
AL,2019-01-19,80,3,2018-19,1
AL,2019-01-26,113,4,2018-19,1
AL,2019-02-02,80,5,2018-19,1
AL,2019-02-09,76,6,2018-19,1
AL,2019-02-16,78,7,2018-19,1
AL,2019-02-23,70,8,2018-19,1
AL,2019-03-02,65,9,2018-19,1
AL,2019-03-09,81,10,2018-19,1
AL,2019-03-16,71,11,2018-19,1
AL,2019-03-23,70,12,2018-19,1
AL,2019-03-30,59,13,2018-19,1
AL,2019-04-06,77,14,2018-19,1
AL,2019-04-13,74,15,2018-19,1
AL,2019-04-20,62,16,2018-19,1
AL,2019-04-27,77,17,2018-19,1
AL,2019-05-04,60,18,2018-19,1
AL,2019-05-11,67,19,2018-19,1
AL,2019-05-18,54,20,2018-19,1
AL,2019-05-25,79,21,2018-19,1
AL,2019-06-01,76,22,2018-19,1
AL,2019-06-08,62,23,2018-19,1
AL,2019-06-15,64,24,2018-19,1
AL,2019-06-22,52,25,2018-19,1
AL,2019-06-29,71,26,2018-19,1
AL,2019-07-06,53,27,2018-19,1
AL,2019-07-13,49,28,2018-19,1
AL,2019-07-20,68,29,2018-19,1
AL,2019-07-27,45,30,2018-19,1
AL,2020-01-04,85,1,2019-20,1
AL,2020-01-11,72,2,2019-20,1
AL,2020-01-18,73,3,2019-20,1
AL,2020-01-25,61,4,2019-20,1
AL,2020-02-01,76,5,2019-20,1
AL,2020-02-08,70,6,2019-20,1
AL,2020-02-15,73,7,2019-20,1
AL,2020-02-22,65,8,2019-20,1
AL,2020-02-29,88,9,2019-20,1
AL,2020-03-07,60,10,2019-20,1
AL,2020-03-14,75,11,2019-20,1
AL,2020-03-21,67,12,2019-20,1
AL,2020-03-28,75,13,2019-20,1
AL,2020-04-04,67,14,2019-20,1
AL,2020-04-11,62,15,2019-20,1
AL,2020-04-18,70,16,2019-20,1
AL,2020-04-25,53,17,2019-20,1
AL,2020-05-02,67,18,2019-20,1
AL,2020-05-09,58,19,2019-20,1
AL,2020-05-16,69,20,2019-20,1
AL,2020-05-23,52,21,2019-20,1
AL,2020-05-30,51,22,2019-20,1
AL,2020-06-06,60,23,2019-20,1
AL,2020-06-13,64,24,2019-20,1
AL,2020-06-20,60,25,2019-20,1
AL,2020-06-27,53,26,2019-20,1
AL,2020-07-04,57,27,2019-20,1
AL,2020-07-11,56,28,2019-20,1
AL,2020-07-18,57,29,2019-20,1
AL,2020-07-25,47,30,2019-20,1
AK,2019-03-09,10,10,2018-19,1
AK,2019-07-27,0,30,2018-19,1
AZ,2019-01-05,86,1,2018-19,1
AZ,2019-01-12,101,2,2018-19,1
AZ,2019-01-19,84,3,2018-19,1
AZ,2019-01-26,80,4,2018-19,1
AZ,2019-02-02,93,5,2018-19,1
AZ,2019-02-09,87,6,2018-19,1
AZ,2019-02-16,81,7,2018-19,1
AZ,2019-02-23,86,8,2018-19,1
AZ,2019-03-02,99,9,2018-19,1
AZ,2019-03-09,75,10,2018-19,1
AZ,2019-03-16,80,11,2018-19,1
AZ,2019-03-23,81,12,2018-19,1
AZ,2019-03-30,80,13,2018-19,1
AZ,2019-04-06,94,14,2018-19,1
AZ,2019-04-13,86,15,2018-19,1
AZ,2019-04-20,87,16,2018-19,1
AZ,2019-04-27,77,17,2018-19,1
AZ,2019-05-04,62,18,2018-19,1
AZ,2019-05-11,81,19,2018-19,1
AZ,2019-05-18,70,20,2018-19,1
AZ,2019-05-25,70,21,2018-19,1
AZ,2019-06-01,76,22,2018-19,1
AZ,2019-06-08,66,23,2018-19,1
AZ,2019-06-15,53,24,2018-19,1
AZ,2019-06-22,68,25,2018-19,1
AZ,2019-06-29,66,26,2018-19,1
AZ,2019-07-06,62,27,2018-19,1
AZ,2019-07-13,58,28,2018-19,1
AZ,2019-07-20,61,29,2018-19,1
AZ,2019-07-27,47,30,2018-19,1
AZ,2020-01-04,90,1,2019-20,1
AZ,2020-01-11,86,2,2019-20,1
AZ,2020-01-18,74,3,2019-20,1
AZ,2020-01-25,76,4,2019-20,1
AZ,2020-02-01,75,5,2019-20,1
AZ,2020-02-08,78,6,2019-20,1
AZ,2020-02-15,88,7,2019-20,1
AZ,2020-02-22,83,8,2019-20,1
AZ,2020-02-29,84,9,2019-20,1
AZ,2020-03-07,78,10,2019-20,1
AZ,2020-03-14,102,11,2019-20,1
AZ,2020-03-21,79,12,2019-20,1
AZ,2020-03-28,81,13,2019-20,1
AZ,2020-04-04,78,14,2019-20,1
AZ,2020-04-11,83,15,2019-20,1
AZ,2020-04-18,74,16,2019-20,1
AZ,2020-04-25,64,17,2019-20,1
