state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,22,1,2018-19,1
AL,2019-01-12,24,2,2018-19,1
AL,2019-01-19,18,3,2018-19,1
AL,2019-01-26,22,4,2018-19,1
AL,2019-02-02,19,5,2018-19,1
AL,2019-02-09,25,6,2018-19,1
AL,2019-02-16,25,7,2018-19,1
AL,2019-02-23,22,8,2018-19,1
AL,2019-03-02,30,9,2018-19,1
AL,2019-03-09,27,10,2018-19,1
AL,2019-03-16,24,11,2018-19,1
AL,2019-03-23,23,12,2018-19,1
AL,2019-03-30,20,13,2018-19,1
AL,2019-04-06,20,14,2018-19,1
AL,2019-04-13,29,15,2018-19,1
AL,2019-04-20,24,16,2018-19,1
AL,2019-04-27,28,17,2018-19,1
AL,2019-05-04,20,18,2018-19,1
AL,2019-05-11,21,19,2018-19,1
AL,2019-05-18,20,20,2018-19,1
AL,2019-05-25,27,21,2018-19,1
AL,2019-06-01,17,22,2018-19,1
AL,2019-06-08,17,23,2018-19,1
AL,2019-06-15,25,24,2018-19,1
AL,2019-06-22,20,25,2018-19,1
AL,2019-06-29,23,26,2018-19,1
AL,2019-07-06,22,27,2018-19,1
AL,2019-07-13,28,28,2018-19,1
AL,2019-07-20,29,29,2018-19,1
AL,2019-07-27,21,30,2018-19,1
AL,2020-01-04,25,1,2019-20,1
AL,2020-01-11,17,2,2019-20,1
AL,2020-01-18,23,3,2019-20,1
AL,2020-01-25,23,4,2019-20,1
AL,2020-02-01,16,5,2019-20,1
AL,2020-02-08,24,6,2019-20,1
AL,2020-02-15,24,7,2019-20,1
AL,2020-02-22,27,8,2019-20,1
AL,2020-02-29,27,9,2019-20,1
AL,2020-03-07,24,10,2019-20,1
AL,2020-03-14,31,11,2019-20,1
AL,2020-03-21,24,12,2019-20,1
AL,2020-03-28,22,13,2019-20,1
AL,2020-04-04,34,14,2019-20,1
AL,2020-04-11,30,15,2019-20,1
AL,2020-04-18,33,16,2019-20,1
AL,2020-04-25,27,17,2019-20,1
AL,2020-05-02,22,18,2019-20,1
AL,2020-05-09,27,19,2019-20,1
AL,2020-05-16,26,20,2019-20,1
AL,2020-05-23,22,21,2019-20,1
AL,2020-05-30,26,22,2019-20,1
AL,2020-06-06,20,23,2019-20,1
AL,2020-06-13,21,24,2019-20,1
AL,2020-06-20,18,25,2019-20,1
AL,2020-06-27,22,26,2019-20,1
AL,2020-07-04,29,27,2019-20,1
AL,2020-07-11,24,28,2019-20,1
AL,2020-07-18,13,29,2019-20,1
AL,2020-07-25,14,30,2019-20,1
AK,2019-07-27,0,30,2018-19,1
AK,2020-03-07,0,10,2019-20,1
AK,2020-04-25,0,17,2019-20,1
AK,2020-06-20,0,25,2019-20,1
AZ,2019-01-05,44,1,2018-19,1
AZ,2019-01-12,49,2,2018-19,1
AZ,2019-01-19,46,3,2018-19,1
AZ,2019-01-26,36,4,2018-19,1
AZ,2019-02-02,57,5,2018-19,1
AZ,2019-02-09,36,6,2018-19,1
AZ,2019-02-16,48,7,2018-19,1
AZ,2019-02-23,52,8,2018-19,1
AZ,2019-03-02,54,9,2018-19,1
AZ,2019-03-09,43,10,2018-19,1
AZ,2019-03-16,39,11,2018-19,1
AZ,2019-03-23,39,12,2018-19,1
AZ,2019-03-30,46,13,2018-19,1
AZ,2019-04-06,47,14,2018-19,1
AZ,2019-04-13,51,15,2018-19,1
AZ,2019-04-20,45,16,2018-19,1
AZ,2019-04-27,45,17,2018-19,1
AZ,2019-05-04,61,18,2018-19,1
AZ,2019-05-11,57,19,2018-19,1
AZ,2019-05-18,39,20,2018-19,1
AZ,2019-05-25,48,21,2018-19,1
AZ,2019-06-01,39,22,2018-19,1
AZ,2019-06-08,37,23,2018-19,1
AZ,2019-06-15,40,24,2018-19,1
AZ,2019-06-22,32,25,2018-19,1
AZ,2019-06-29,30,26,2018-19,1
AZ,2019-07-06,39,27,2018-19,1
AZ,2019-07-13,39,28,2018-19,1
AZ,2019-07-20,46,29,2018-19,1
AZ,2019-07-27,51,30,2018-19,1
AZ,2020-01-04,46,1,2019-20,1
AZ,2020-01-11,58,2,2019-20,1
AZ,2020-01-18,46,3,2019-20,1
