state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,261,1,2018-19,1
AL,2019-01-12,275,2,2018-19,1
AL,2019-01-19,283,3,2018-19,1
AL,2019-01-26,279,4,2018-19,1
AL,2019-02-02,290,5,2018-19,1
AL,2019-02-09,278,6,2018-19,1
AL,2019-02-16,262,7,2018-19,1
AL,2019-02-23,273,8,2018-19,1
AL,2019-03-02,283,9,2018-19,1
AL,2019-03-09,260,10,2018-19,1
AL,2019-03-16,278,11,2018-19,1
AL,2019-03-23,259,12,2018-19,1
AL,2019-03-30,281,13,2018-19,1
AL,2019-04-06,248,14,2018-19,1
AL,2019-04-13,267,15,2018-19,1
AL,2019-04-20,256,16,2018-19,1
AL,2019-04-27,259,17,2018-19,1
AL,2019-05-04,257,18,2018-19,1
AL,2019-05-11,240,19,2018-19,1
AL,2019-05-18,250,20,2018-19,1
AL,2019-05-25,266,21,2018-19,1
AL,2019-06-01,255,22,2018-19,1
AL,2019-06-08,246,23,2018-19,1
AL,2019-06-15,238,24,2018-19,1
AL,2019-06-22,244,25,2018-19,1
AL,2019-06-29,240,26,2018-19,1
AL,2019-07-06,277,27,2018-19,1
AL,2019-07-13,256,28,2018-19,1
AL,2019-07-20,240,29,2018-19,1
AL,2019-07-27,259,30,2018-19,1
AL,2020-01-04,266,1,2019-20,1
AL,2020-01-11,273,2,2019-20,1
AL,2020-01-18,239,3,2019-20,1
AL,2020-01-25,283,4,2019-20,1
AL,2020-02-01,265,5,2019-20,1
AL,2020-02-08,301,6,2019-20,1
AL,2020-02-15,253,7,2019-20,1
AL,2020-02-22,285,8,2019-20,1
AL,2020-02-29,293,9,2019-20,1
AL,2020-03-07,266,10,2019-20,1
AL,2020-03-14,263,11,2019-20,1
AL,2020-03-21,259,12,2019-20,1
AL,2020-03-28,241,13,2019-20,1
AL,2020-04-04,256,14,2019-20,1
AL,2020-04-11,266,15,2019-20,1
AL,2020-04-18,248,16,2019-20,1
AL,2020-04-25,262,17,2019-20,1
AL,2020-05-02,267,18,2019-20,1
AL,2020-05-09,301,19,2019-20,1
AL,2020-05-16,252,20,2019-20,1
AL,2020-05-23,270,21,2019-20,1
AL,2020-05-30,240,22,2019-20,1
AL,2020-06-06,275,23,2019-20,1
AL,2020-06-13,268,24,2019-20,1
AL,2020-06-20,243,25,2019-20,1
AL,2020-06-27,244,26,2019-20,1
AL,2020-07-04,274,27,2019-20,1
AL,2020-07-11,260,28,2019-20,1
AL,2020-07-18,203,29,2019-20,1
AL,2020-07-25,163,30,2019-20,1
AK,2019-01-05,22,1,2018-19,1
AK,2019-01-12,13,2,2018-19,1
AK,2019-01-19,18,3,2018-19,1
AK,2019-01-26,17,4,2018-19,1
AK,2019-02-02,15,5,2018-19,1
AK,2019-02-09,13,6,2018-19,1
AK,2019-02-16,18,7,2018-19,1
AK,2019-02-23,12,8,2018-19,1
AK,2019-03-02,18,9,2018-19,1
AK,2019-03-09,12,10,2018-19,1
AK,2019-03-16,17,11,2018-19,1
AK,2019-03-23,10,12,2018-19,1
AK,2019-03-30,15,13,2018-19,1
AK,2019-04-06,14,14,2018-19,1
AK,2019-04-13,13,15,2018-19,1
AK,2019-04-20,13,16,2018-19,1
AK,2019-05-04,14,18,2018-19,1
AK,2019-05-11,14,19,2018-19,1
AK,2019-05-18,23,20,2018-19,1
AK,2019-06-01,17,22,2018-19,1
AK,2019-06-08,12,23,2018-19,1
AK,2019-06-15,16,24,2018-19,1
AK,2019-06-22,16,25,2018-19,1
AK,2019-06-29,25,26,2018-19,1
AK,2019-07-06,15,27,2018-19,1
AK,2019-07-13,21,28,2018-19,1
AK,2019-07-20,16,29,2018-19,1
AK,2019-07-27,12,30,2018-19,1
AK,2020-01-04,17,1,2019-20,1
AK,2020-01-11,24,2,2019-20,1
AK,2020-01-18,15,3,2019-20,1
AK,2020-01-25,18,4,2019-20,1
AK,2020-02-01,20,5,2019-20,1
AK,2020-02-08,23,6,2019-20,1
AK,2020-02-15,19,7,2019-20,1
AK,2020-02-29,14,9,2019-20,1
AK,2020-03-07,15,10,2019-20,1
AK,2020-03-14,22,11,2019-20,1
AK,2020-03-21,10,12,2019-20,1
AK,2020-03-28,14,13,2019-20,1
AK,2020-04-04,14,14,2019-20,1
AK,2020-04-11,19,15,2019-20,1
AK,2020-04-18,13,16,2019-20,1
AK,2020-04-25,13,17,2019-20,1
AK,2020-05-02,18,18,2019-20,1
AK,2020-05-09,12,19,2019-20,1
AK,2020-05-16,20,20,2019-20,1
AK,2020-05-23,16,21,2019-20,1
AK,2020-05-30,18,22,2019-20,1
AK,2020-06-06,19,23,2019-20,1
AK,2020-06-13,15,24,2019-20,1
AK,2020-06-20,13,25,2019-20,1
AK,2020-06-27,11,26,2019-20,1
AK,2020-07-04,13,27,2019-20,1
AZ,2019-01-05,314,1,2018-19,1
AZ,2019-01-12,310,2,2018-19,1
AZ,2019-01-19,256,3,2018-19,1
AZ,2019-01-26,262,4,2018-19,1
AZ,2019-02-02,239,5,2018-19,1
AZ,2019-02-09,243,6,2018-19,1
AZ,2019-02-16,246,7,2018-19,1
AZ,2019-02-23,256,8,2018-19,1
AZ,2019-03-02,277,9,2018-19,1
AZ,2019-03-09,274,10,2018-19,1
AZ,2019-03-16,288,11,2018-19,1
AZ,2019-03-23,233,12,2018-19,1
AZ,2019-03-30,265,13,2018-19,1
AZ,2019-04-06,238,14,2018-19,1
AZ,2019-04-13,278,15,2018-19,1
AZ,2019-04-20,273,16,2018-19,1
AZ,2019-04-27,255,17,2018-19,1
AZ,2019-05-04,246,18,2018-19,1
AZ,2019-05-11,263,19,2018-19,1
AZ,2019-05-18,239,20,2018-19,1
AZ,2019-05-25,220,21,2018-19,1
AZ,2019-06-01,235,22,2018-19,1
AZ,2019-06-08,215,23,2018-19,1
AZ,2019-06-15,239,24,2018-19,1
AZ,2019-06-22,239,25,2018-19,1
AZ,2019-06-29,213,26,2018-19,1
AZ,2019-07-06,214,27,2018-19,1
AZ,2019-07-13,240,28,2018-19,1
AZ,2019-07-20,255,29,2018-19,1
AZ,2019-07-27,238,30,2018-19,1
AZ,2020-01-04,313,1,2019-20,1
AZ,2020-01-11,295,2,2019-20,1
AZ,2020-01-18,275,3,2019-20,1
AZ,2020-01-25,281,4,2019-20,1
AZ,2020-02-01,288,5,2019-20,1
AZ,2020-02-08,278,6,2019-20,1
AZ,2020-02-15,296,7,2019-20,1
AZ,2020-02-22,286,8,2019-20,1
AZ,2020-02-29,272,9,2019-20,1
AZ,2020-03-07,308,10,2019-20,1
AZ,2020-03-14,294,11,2019-20,1
AZ,2020-03-21,256,12,2019-20,1
AZ,2020-03-28,276,13,2019-20,1
AZ,2020-04-04,253,14,2019-20,1
AZ,2020-04-11,253,15,2019-20,1
AZ,2020-04-18,244,16,2019-20,1
AZ,2020-04-25,282,17,2019-20,1
AZ,2020-05-02,311,18,2019-20,1
AZ,2020-05-09,270,19,2019-20,1
AZ,2020-05-16,210,20,2019-20,1
AZ,2020-05-23,211,21,2019-20,1
AZ,2020-05-30,230,22,2019-20,1
AZ,2020-06-06,243,23,2019-20,1
AZ,2020-06-13,263,24,2019-20,1
AZ,2020-06-20,246,25,2019-20,1
AZ,2020-06-27,267,26,2019-20,1
AZ,2020-07-04,261,27,2019-20,1
AZ,2020-07-11,268,28,2019-20,1
AZ,2020-07-18,259,29,2019-20,1
AZ,2020-07-25,219,30,2019-20,1
AR,2019-01-05,193,1,2018-19,1
AR,2019-01-12,171,2,2018-19,1
AR,2019-01-19,156,3,2018-19,1
AR,2019-01-26,173,4,2018-19,1
AR,2019-02-02,201,5,2018-19,1
AR,2019-02-09,174,6,2018-19,1
AR,2019-02-16,194,7,2018-19,1
AR,2019-02-23,201,8,2018-19,1
AR,2019-03-02,158,9,2018-19,1
AR,2019-03-09,191,10,2018-19,1
AR,2019-03-16,179,11,2018-19,1
AR,2019-03-23,179,12,2018-19,1
AR,2019-03-30,181,13,2018-19,1
AR,2019-04-06,185,14,2018-19,1
AR,2019-04-13,192,15,2018-19,1
AR,2019-04-20,164,16,2018-19,1
AR,2019-04-27,177,17,2018-19,1
AR,2019-05-04,161,18,2018-19,1
AR,2019-05-11,161,19,2018-19,1
AR,2019-05-18,158,20,2018-19,1
AR,2019-05-25,174,21,2018-19,1
AR,2019-06-01,156,22,2018-19,1
AR,2019-06-08,150,23,2018-19,1
AR,2019-06-15,158,24,2018-19,1
AR,2019-06-22,156,25,2018-19,1
AR,2019-06-29,152,26,2018-19,1
AR,2019-07-06,159,27,2018-19,1
AR,2019-07-13,151,28,2018-19,1
AR,2019-07-20,145,29,2018-19,1
AR,2019-07-27,138,30,2018-19,1
AR,2020-01-04,174,1,2019-20,1
AR,2020-01-11,166,2,2019-20,1
AR,2020-01-18,166,3,2019-20,1
AR,2020-01-25,161,4,2019-20,1
AR,2020-02-01,151,5,2019-20,1
AR,2020-02-08,170,6,2019-20,1
AR,2020-02-15,179,7,2019-20,1
AR,2020-02-22,167,8,2019-20,1
AR,2020-02-29,167,9,2019-20,1
AR,2020-03-07,147,10,2019-20,1
AR,2020-03-14,149,11,2019-20,1
AR,2020-03-21,145,12,2019-20,1
AR,2020-03-28,155,13,2019-20,1
AR,2020-04-04,145,14,2019-20,1
AR,2020-04-11,145,15,2019-20,1
AR,2020-04-18,159,16,2019-20,1
AR,2020-04-25,128,17,2019-20,1
AR,2020-05-02,130,18,2019-20,1
AR,2020-05-09,164,19,2019-20,1
AR,2020-05-16,140,20,2019-20,1
AR,2020-05-23,147,21,2019-20,1
AR,2020-05-30,152,22,2019-20,1
AR,2020-06-06,160,23,2019-20,1
AR,2020-06-13,162,24,2019-20,1
AR,2020-06-20,157,25,2019-20,1
AR,2020-06-27,150,26,2019-20,1
AR,2020-07-04,151,27,2019-20,1
AR,2020-07-11,136,28,2019-20,1
AR,2020-07-18,159,29,2019-20,1
AR,2020-07-25,134,30,2019-20,1
CA,2019-01-05,1425,1,2018-19,1
CA,2019-01-12,1348,2,2018-19,1
CA,2019-01-19,1297,3,2018-19,1
CA,2019-01-26,1363,4,2018-19,1
CA,2019-02-02,1344,5,2018-19,1
CA,2019-02-09,1310,6,2018-19,1
CA,2019-02-16,1380,7,2018-19,1
CA,2019-02-23,1372,8,2018-19,1
CA,2019-03-02,1459,9,2018-19,1
CA,2019-03-09,1360,10,2018-19,1
CA,2019-03-16,1386,11,2018-19,1
CA,2019-03-23,1351,12,2018-19,1
CA,2019-03-30,1350,13,2018-19,1
CA,2019-04-06,1274,14,2018-19,1
CA,2019-04-13,1219,15,2018-19,1
CA,2019-04-20,1253,16,2018-19,1
CA,2019-04-27,1185,17,2018-19,1
CA,2019-05-04,1164,18,2018-19,1
CA,2019-05-11,1145,19,2018-19,1
CA,2019-05-18,1152,20,2018-19,1
CA,2019-05-25,1172,21,2018-19,1
CA,2019-06-01,1175,22,2018-19,1
CA,2019-06-08,1204,23,2018-19,1
CA,2019-06-15,1169,24,2018-19,1
CA,2019-06-22,1146,25,2018-19,1
CA,2019-06-29,1077,26,2018-19,1
CA,2019-07-06,1141,27,2018-19,1
CA,2019-07-13,1118,28,2018-19,1
CA,2019-07-20,1035,29,2018-19,1
CA,2019-07-27,1086,30,2018-19,1
CA,2020-01-04,1390,1,2019-20,1
CA,2020-01-11,1375,2,2019-20,1
CA,2020-01-18,1386,3,2019-20,1
CA,2020-01-25,1357,4,2019-20,1
CA,2020-02-01,1342,5,2019-20,1
CA,2020-02-08,1377,6,2019-20,1
CA,2020-02-15,1331,7,2019-20,1
CA,2020-02-22,1334,8,2019-20,1
CA,2020-02-29,1302,9,2019-20,1
CA,2020-03-07,1292,10,2019-20,1
CA,2020-03-14,1285,11,2019-20,1
CA,2020-03-21,1228,12,2019-20,1
CA,2020-03-28,1284,13,2019-20,1
CA,2020-04-04,1257,14,2019-20,1
CA,2020-04-11,1290,15,2019-20,1
CA,2020-04-18,1278,16,2019-20,1
CA,2020-04-25,1288,17,2019-20,1
CA,2020-05-02,1167,18,2019-20,1
CA,2020-05-09,1197,19,2019-20,1
CA,2020-05-16,1181,20,2019-20,1
CA,2020-05-23,1186,21,2019-20,1
CA,2020-05-30,1203,22,2019-20,1
CA,2020-06-06,1157,23,2019-20,1
CA,2020-06-13,1082,24,2019-20,1
CA,2020-06-20,1102,25,2019-20,1
CA,2020-06-27,1097,26,2019-20,1
CA,2020-07-04,1095,27,2019-20,1
CA,2020-07-11,1062,28,2019-20,1
CA,2020-07-18,1011,29,2019-20,1
CA,2020-07-25,824,30,2019-20,1
CO,2019-01-05,190,1,2018-19,1
CO,2019-01-12,180,2,2018-19,1
CO,2019-01-19,176,3,2018-19,1
CO,2019-01-26,151,4,2018-19,1
CO,2019-02-02,144,5,2018-19,1
CO,2019-02-09,160,6,2018-19,1
CO,2019-02-16,176,7,2018-19,1
CO,2019-02-23,166,8,2018-19,1
CO,2019-03-02,153,9,2018-19,1
CO,2019-03-09,180,10,2018-19,1
CO,2019-03-16,127,11,2018-19,1
CO,2019-03-23,176,12,2018-19,1
CO,2019-03-30,147,13,2018-19,1
CO,2019-04-06,140,14,2018-19,1
CO,2019-04-13,155,15,2018-19,1
CO,2019-04-20,158,16,2018-19,1
CO,2019-04-27,144,17,2018-19,1
CO,2019-05-04,166,18,2018-19,1
CO,2019-05-11,132,19,2018-19,1
CO,2019-05-18,138,20,2018-19,1
CO,2019-05-25,161,21,2018-19,1
CO,2019-06-01,152,22,2018-19,1
CO,2019-06-08,175,23,2018-19,1
CO,2019-06-15,152,24,2018-19,1
CO,2019-06-22,138,25,2018-19,1
CO,2019-06-29,147,26,2018-19,1
CO,2019-07-06,154,27,2018-19,1
CO,2019-07-13,143,28,2018-19,1
CO,2019-07-20,129,29,2018-19,1
CO,2019-07-27,128,30,2018-19,1
CO,2020-01-04,177,1,2019-20,1
CO,2020-01-11,168,2,2019-20,1
CO,2020-01-18,164,3,2019-20,1
CO,2020-01-25,146,4,2019-20,1
CO,2020-02-01,146,5,2019-20,1
CO,2020-02-08,154,6,2019-20,1
CO,2020-02-15,132,7,2019-20,1
CO,2020-02-22,160,8,2019-20,1
CO,2020-02-29,163,9,2019-20,1
CO,2020-03-07,155,10,2019-20,1
CO,2020-03-14,150,11,2019-20,1
CO,2020-03-21,155,12,2019-20,1
CO,2020-03-28,169,13,2019-20,1
CO,2020-04-04,155,14,2019-20,1
CO,2020-04-11,175,15,2019-20,1
CO,2020-04-18,175,16,2019-20,1
CO,2020-04-25,156,17,2019-20,1
CO,2020-05-02,161,18,2019-20,1
CO,2020-05-09,152,19,2019-20,1
CO,2020-05-16,139,20,2019-20,1
CO,2020-05-23,179,21,2019-20,1
CO,2020-05-30,136,22,2019-20,1
CO,2020-06-06,140,23,2019-20,1
CO,2020-06-13,143,24,2019-20,1
CO,2020-06-20,152,25,2019-20,1
CO,2020-06-27,163,26,2019-20,1
CO,2020-07-04,126,27,2019-20,1
CO,2020-07-11,116,28,2019-20,1
CO,2020-07-18,108,29,2019-20,1
CO,2020-07-25,108,30,2019-20,1
CT,2019-01-05,161,1,2018-19,1
CT,2019-01-12,158,2,2018-19,1
CT,2019-01-19,148,3,2018-19,1
CT,2019-01-26,171,4,2018-19,1
CT,2019-02-02,152,5,2018-19,1
CT,2019-02-09,170,6,2018-19,1
CT,2019-02-16,176,7,2018-19,1
CT,2019-02-23,151,8,2018-19,1
CT,2019-03-02,164,9,2018-19,1
CT,2019-03-09,142,10,2018-19,1
CT,2019-03-16,162,11,2018-19,1
