state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,21,1,2018-19,1
AL,2019-01-12,18,2,2018-19,1
AL,2019-01-19,31,3,2018-19,1
AL,2019-01-26,22,4,2018-19,1
AL,2019-02-02,19,5,2018-19,1
AL,2019-02-09,28,6,2018-19,1
AL,2019-02-16,27,7,2018-19,1
AL,2019-02-23,17,8,2018-19,1
AL,2019-03-02,28,9,2018-19,1
AL,2019-03-09,19,10,2018-19,1
AL,2019-03-16,26,11,2018-19,1
AL,2019-03-23,22,12,2018-19,1
AL,2019-03-30,20,13,2018-19,1
AL,2019-04-06,18,14,2018-19,1
AL,2019-04-13,21,15,2018-19,1
AL,2019-04-20,19,16,2018-19,1
AL,2019-04-27,19,17,2018-19,1
AL,2019-05-04,21,18,2018-19,1
AL,2019-05-11,18,19,2018-19,1
AL,2019-05-18,19,20,2018-19,1
AL,2019-05-25,21,21,2018-19,1
AL,2019-06-01,18,22,2018-19,1
AL,2019-06-08,11,23,2018-19,1
AL,2019-06-15,23,24,2018-19,1
AL,2019-06-22,20,25,2018-19,1
AL,2019-06-29,17,26,2018-19,1
AL,2019-07-06,10,27,2018-19,1
AL,2019-07-13,11,28,2018-19,1
AL,2019-07-20,15,29,2018-19,1
AL,2019-07-27,12,30,2018-19,1
AL,2020-01-04,28,1,2019-20,1
AL,2020-01-11,27,2,2019-20,1
AL,2020-01-18,31,3,2019-20,1
AL,2020-01-25,29,4,2019-20,1
AL,2020-02-01,31,5,2019-20,1
AL,2020-02-08,28,6,2019-20,1
AL,2020-02-15,35,7,2019-20,1
AL,2020-02-22,25,8,2019-20,1
AL,2020-02-29,31,9,2019-20,1
AL,2020-03-07,34,10,2019-20,1
AL,2020-03-14,30,11,2019-20,1
AL,2020-03-21,26,12,2019-20,1
AL,2020-03-28,25,13,2019-20,1
AL,2020-04-04,23,14,2019-20,1
AL,2020-04-11,17,15,2019-20,1
AL,2020-04-18,18,16,2019-20,1
AL,2020-04-25,24,17,2019-20,1
AL,2020-05-02,26,18,2019-20,1
AL,2020-05-09,12,19,2019-20,1
AL,2020-05-16,15,20,2019-20,1
AL,2020-05-23,18,21,2019-20,1
AL,2020-05-30,21,22,2019-20,1
AL,2020-06-06,17,23,2019-20,1
AL,2020-06-13,12,24,2019-20,1
AL,2020-06-20,12,25,2019-20,1
AL,2020-06-27,13,26,2019-20,1
AL,2020-07-04,14,27,2019-20,1
AL,2020-07-11,10,28,2019-20,1
AL,2020-07-18,21,29,2019-20,1
AK,2019-01-05,0,1,2018-19,1
AK,2019-01-26,0,4,2018-19,1
AK,2019-04-06,0,14,2018-19,1
AK,2019-04-13,0,15,2018-19,1
AK,2019-05-04,0,18,2018-19,1
AK,2019-05-11,0,19,2018-19,1
AK,2019-05-18,0,20,2018-19,1
AK,2019-06-08,0,23,2018-19,1
AK,2019-06-15,0,24,2018-19,1
AK,2019-06-22,0,25,2018-19,1
AK,2019-06-29,0,26,2018-19,1
AK,2019-07-20,0,29,2018-19,1
AK,2020-01-04,0,1,2019-20,1
AK,2020-01-11,0,2,2019-20,1
AK,2020-01-18,0,3,2019-20,1
AK,2020-01-25,0,4,2019-20,1
AK,2020-02-15,0,7,2019-20,1
AK,2020-05-23,0,21,2019-20,1
AK,2020-05-30,0,22,2019-20,1
AK,2020-07-04,0,27,2019-20,1
AK,2020-07-11,0,28,2019-20,1
AK,2020-07-18,0,29,2019-20,1
AK,2020-07-25,0,30,2019-20,1
AZ,2019-01-05,34,1,2018-19,1
AZ,2019-01-12,28,2,2018-19,1
