state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,21,1,2018-19,1
AL,2019-01-12,13,2,2018-19,1
AL,2019-01-19,25,3,2018-19,1
AL,2019-01-26,25,4,2018-19,1
AL,2019-02-02,24,5,2018-19,1
AL,2019-02-09,22,6,2018-19,1
AL,2019-02-16,22,7,2018-19,1
AL,2019-02-23,26,8,2018-19,1
AL,2019-03-02,23,9,2018-19,1
AL,2019-03-09,19,10,2018-19,1
AL,2019-03-16,25,11,2018-19,1
AL,2019-03-23,24,12,2018-19,1
AL,2019-03-30,15,13,2018-19,1
AL,2019-04-06,15,14,2018-19,1
AL,2019-04-13,15,15,2018-19,1
AL,2019-04-20,20,16,2018-19,1
AL,2019-04-27,23,17,2018-19,1
AL,2019-05-04,16,18,2018-19,1
AL,2019-05-11,19,19,2018-19,1
AL,2019-05-18,12,20,2018-19,1
AL,2019-05-25,18,21,2018-19,1
AL,2019-06-01,18,22,2018-19,1
AL,2019-06-08,16,23,2018-19,1
AL,2019-06-15,16,24,2018-19,1
AL,2019-06-22,23,25,2018-19,1
AL,2019-06-29,13,26,2018-19,1
AL,2019-07-06,21,27,2018-19,1
AL,2019-07-13,19,28,2018-19,1
AL,2019-07-20,15,29,2018-19,1
AL,2019-07-27,22,30,2018-19,1
AL,2020-01-04,25,1,2019-20,1
AL,2020-01-11,23,2,2019-20,1
AL,2020-01-18,23,3,2019-20,1
AL,2020-01-25,14,4,2019-20,1
AL,2020-02-01,20,5,2019-20,1
AL,2020-02-08,24,6,2019-20,1
AL,2020-02-15,17,7,2019-20,1
AL,2020-02-22,12,8,2019-20,1
AL,2020-02-29,21,9,2019-20,1
AL,2020-03-07,23,10,2019-20,1
AL,2020-03-14,27,11,2019-20,1
AL,2020-03-21,22,12,2019-20,1
AL,2020-03-28,15,13,2019-20,1
AL,2020-04-04,22,14,2019-20,1
AL,2020-04-11,17,15,2019-20,1
AL,2020-04-18,17,16,2019-20,1
AL,2020-04-25,17,17,2019-20,1
AL,2020-05-02,23,18,2019-20,1
AL,2020-05-09,14,19,2019-20,1
AL,2020-05-16,22,20,2019-20,1
AL,2020-05-23,21,21,2019-20,1
AL,2020-05-30,15,22,2019-20,1
AL,2020-06-06,15,23,2019-20,1
AL,2020-06-13,23,24,2019-20,1
AL,2020-06-20,17,25,2019-20,1
AL,2020-06-27,15,26,2019-20,1
AL,2020-07-04,17,27,2019-20,1
AL,2020-07-11,17,28,2019-20,1
AL,2020-07-18,16,29,2019-20,1
AK,2019-01-12,0,2,2018-19,1
AK,2019-01-19,0,3,2018-19,1
AK,2019-01-26,0,4,2018-19,1
AK,2019-02-02,0,5,2018-19,1
AK,2019-03-02,0,9,2018-19,1
AK,2019-03-16,0,11,2018-19,1
AK,2019-05-11,0,19,2018-19,1
AK,2019-06-01,0,22,2018-19,1
AK,2019-07-13,0,28,2018-19,1
AK,2019-07-27,0,30,2018-19,1
AK,2020-02-01,0,5,2019-20,1
AK,2020-02-22,0,8,2019-20,1
AK,2020-03-14,0,11,2019-20,1
AK,2020-04-04,0,14,2019-20,1
AK,2020-05-02,0,18,2019-20,1
AK,2020-05-09,0,19,2019-20,1
AK,2020-05-23,0,21,2019-20,1
AK,2020-06-06,0,23,2019-20,1
AK,2020-06-13,0,24,2019-20,1
AK,2020-06-27,0,26,2019-20,1
AK,2020-07-25,0,30,2019-20,1
AZ,2019-01-05,27,1,2018-19,1
AZ,2019-01-12,17,2,2018-19,1
AZ,2019-01-19,15,3,2018-19,1
AZ,2019-01-26,14,4,2018-19,1
AZ,2019-02-02,15,5,2018-19,1
AZ,2019-02-09,13,6,2018-19,1
AZ,2019-02-16,14,7,2018-19,1
AZ,2019-02-23,19,8,2018-19,1
AZ,2019-03-02,14,9,2018-19,1
AZ,2019-03-09,24,10,2018-19,1
AZ,2019-03-16,21,11,2018-19,1
AZ,2019-03-23,15,12,2018-19,1
AZ,2019-04-06,17,14,2018-19,1
AZ,2019-04-13,12,15,2018-19,1
AZ,2019-04-20,14,16,2018-19,1
AZ,2019-04-27,15,17,2018-19,1
AZ,2019-05-04,21,18,2018-19,1
AZ,2019-05-11,10,19,2018-19,1
AZ,2019-05-18,17,20,2018-19,1
AZ,2019-05-25,11,21,2018-19,1
AZ,2019-06-01,15,22,2018-19,1
AZ,2019-06-08,13,23,2018-19,1
AZ,2019-06-15,17,24,2018-19,1
AZ,2019-06-22,19,25,2018-19,1
AZ,2019-07-06,10,27,2018-19,1
AZ,2019-07-13,27,28,2018-19,1
AZ,2019-07-20,11,29,2018-19,1
AZ,2019-07-27,14,30,2018-19,1
AZ,2020-01-04,11,1,2019-20,1
AZ,2020-01-11,19,2,2019-20,1
AZ,2020-01-18,20,3,2019-20,1
AZ,2020-01-25,20,4,2019-20,1
AZ,2020-02-01,17,5,2019-20,1
AZ,2020-02-08,12,6,2019-20,1
AZ,2020-02-15,10,7,2019-20,1
AZ,2020-02-22,17,8,2019-20,1
AZ,2020-02-29,14,9,2019-20,1
AZ,2020-03-07,16,10,2019-20,1
AZ,2020-03-14,16,11,2019-20,1
AZ,2020-03-21,13,12,2019-20,1
AZ,2020-03-28,20,13,2019-20,1
AZ,2020-04-04,15,14,2019-20,1
AZ,2020-04-11,17,15,2019-20,1
AZ,2020-04-18,21,16,2019-20,1
AZ,2020-04-25,13,17,2019-20,1
AZ,2020-05-02,17,18,2019-20,1
AZ,2020-05-09,11,19,2019-20,1
AZ,2020-05-16,22,20,2019-20,1
AZ,2020-05-23,11,21,2019-20,1
AZ,2020-05-30,19,22,2019-20,1
AZ,2020-06-06,12,23,2019-20,1
AZ,2020-06-13,12,24,2019-20,1
AZ,2020-06-20,13,25,2019-20,1
AZ,2020-06-27,24,26,2019-20,1
AZ,2020-07-04,12,27,2019-20,1
AZ,2020-07-11,11,28,2019-20,1
AZ,2020-07-18,16,29,2019-20,1
AR,2019-01-05,10,1,2018-19,1
AR,2019-01-12,11,2,2018-19,1
AR,2019-01-19,15,3,2018-19,1
AR,2019-01-26,12,4,2018-19,1
AR,2019-02-02,20,5,2018-19,1
AR,2019-02-23,16,8,2018-19,1
AR,2019-03-02,14,9,2018-19,1
AR,2019-03-09,12,10,2018-19,1
AR,2019-03-16,15,11,2018-19,1
AR,2019-03-23,15,12,2018-19,1
AR,2019-03-30,13,13,2018-19,1
AR,2019-04-06,13,14,2018-19,1
AR,2019-04-20,12,16,2018-19,1
AR,2019-05-04,13,18,2018-19,1
AR,2019-05-11,11,19,2018-19,1
AR,2019-05-18,12,20,2018-19,1
AR,2019-06-01,12,22,2018-19,1
AR,2019-06-08,13,23,2018-19,1
AR,2019-06-22,10,25,2018-19,1
AR,2019-06-29,11,26,2018-19,1
AR,2019-07-06,11,27,2018-19,1
AR,2019-07-13,16,28,2018-19,1
AR,2019-07-20,14,29,2018-19,1
AR,2020-01-11,13,2,2019-20,1
AR,2020-01-18,15,3,2019-20,1
AR,2020-02-01,19,5,2019-20,1
AR,2020-02-08,15,6,2019-20,1
AR,2020-02-15,11,7,2019-20,1
AR,2020-02-22,14,8,2019-20,1
AR,2020-02-29,22,9,2019-20,1
AR,2020-03-07,14,10,2019-20,1
AR,2020-03-14,13,11,2019-20,1
AR,2020-03-21,14,12,2019-20,1
AR,2020-03-28,21,13,2019-20,1
AR,2020-04-04,12,14,2019-20,1
AR,2020-04-11,20,15,2019-20,1
AR,2020-04-18,16,16,2019-20,1
AR,2020-04-25,16,17,2019-20,1
AR,2020-05-02,18,18,2019-20,1
AR,2020-05-09,17,19,2019-20,1
AR,2020-05-16,15,20,2019-20,1
AR,2020-05-23,10,21,2019-20,1
AR,2020-05-30,12,22,2019-20,1
AR,2020-06-06,11,23,2019-20,1
AR,2020-06-13,13,24,2019-20,1
AR,2020-06-20,23,25,2019-20,1
AR,2020-06-27,11,26,2019-20,1
AR,2020-07-04,17,27,2019-20,1
AR,2020-07-18,11,29,2019-20,1
CA,2019-01-05,97,1,2018-19,1
CA,2019-01-12,73,2,2018-19,1
CA,2019-01-19,93,3,2018-19,1
CA,2019-01-26,72,4,2018-19,1
CA,2019-02-02,90,5,2018-19,1
CA,2019-02-09,78,6,2018-19,1
CA,2019-02-16,96,7,2018-19,1
CA,2019-02-23,81,8,2018-19,1
CA,2019-03-02,99,9,2018-19,1
CA,2019-03-09,107,10,2018-19,1
CA,2019-03-16,93,11,2018-19,1
CA,2019-03-23,72,12,2018-19,1
CA,2019-03-30,84,13,2018-19,1
CA,2019-04-06,75,14,2018-19,1
CA,2019-04-13,72,15,2018-19,1
CA,2019-04-20,59,16,2018-19,1
CA,2019-04-27,66,17,2018-19,1
CA,2019-05-04,84,18,2018-19,1
CA,2019-05-11,79,19,2018-19,1
CA,2019-05-18,77,20,2018-19,1
CA,2019-05-25,84,21,2018-19,1
CA,2019-06-01,84,22,2018-19,1
CA,2019-06-08,67,23,2018-19,1
CA,2019-06-15,87,24,2018-19,1
CA,2019-06-22,83,25,2018-19,1
CA,2019-06-29,76,26,2018-19,1
CA,2019-07-06,67,27,2018-19,1
CA,2019-07-13,76,28,2018-19,1
CA,2019-07-20,57,29,2018-19,1
CA,2019-07-27,69,30,2018-19,1
CA,2020-01-04,97,1,2019-20,1
CA,2020-01-11,102,2,2019-20,1
CA,2020-01-18,94,3,2019-20,1
CA,2020-01-25,90,4,2019-20,1
CA,2020-02-01,93,5,2019-20,1
CA,2020-02-08,111,6,2019-20,1
CA,2020-02-15,100,7,2019-20,1
CA,2020-02-22,101,8,2019-20,1
CA,2020-02-29,91,9,2019-20,1
CA,2020-03-07,91,10,2019-20,1
CA,2020-03-14,84,11,2019-20,1
CA,2020-03-21,97,12,2019-20,1
CA,2020-03-28,78,13,2019-20,1
CA,2020-04-04,92,14,2019-20,1
CA,2020-04-11,107,15,2019-20,1
CA,2020-04-18,93,16,2019-20,1
CA,2020-04-25,66,17,2019-20,1
CA,2020-05-02,69,18,2019-20,1
CA,2020-05-09,59,19,2019-20,1
CA,2020-05-16,76,20,2019-20,1
CA,2020-05-23,81,21,2019-20,1
CA,2020-05-30,67,22,2019-20,1
CA,2020-06-06,61,23,2019-20,1
CA,2020-06-13,69,24,2019-20,1
CA,2020-06-20,69,25,2019-20,1
CA,2020-06-27,85,26,2019-20,1
CA,2020-07-04,84,27,2019-20,1
CA,2020-07-11,65,28,2019-20,1
CA,2020-07-18,84,29,2019-20,1
CA,2020-07-25,57,30,2019-20,1
CO,2019-01-05,12,1,2018-19,1
CO,2019-01-12,14,2,2018-19,1
CO,2019-01-19,14,3,2018-19,1
CO,2019-02-02,10,5,2018-19,1
CO,2019-02-09,15,6,2018-19,1
CO,2019-02-16,19,7,2018-19,1
CO,2019-03-02,10,9,2018-19,1
CO,2019-03-09,12,10,2018-19,1
CO,2019-03-16,13,11,2018-19,1
CO,2019-03-30,15,13,2018-19,1
CO,2019-04-06,10,14,2018-19,1
CO,2019-04-13,11,15,2018-19,1
CO,2019-04-27,14,17,2018-19,1
CO,2019-05-18,12,20,2018-19,1
CO,2019-06-15,11,24,2018-19,1
CO,2019-06-29,10,26,2018-19,1
CO,2019-07-20,10,29,2018-19,1
CO,2019-07-27,13,30,2018-19,1
CO,2020-01-04,13,1,2019-20,1
CO,2020-01-11,11,2,2019-20,1
CO,2020-01-18,12,3,2019-20,1
CO,2020-01-25,17,4,2019-20,1
CO,2020-02-01,11,5,2019-20,1
CO,2020-02-08,10,6,2019-20,1
CO,2020-02-15,10,7,2019-20,1
CO,2020-02-22,18,8,2019-20,1
CO,2020-03-14,14,11,2019-20,1
CO,2020-03-21,12,12,2019-20,1
CO,2020-04-04,12,14,2019-20,1
CO,2020-04-18,15,16,2019-20,1
CO,2020-04-25,11,17,2019-20,1
CO,2020-06-20,10,25,2019-20,1
CO,2020-07-18,12,29,2019-20,1
CT,2019-01-12,12,2,2018-19,1
CT,2019-01-19,15,3,2018-19,1
CT,2019-01-26,21,4,2018-19,1
CT,2019-02-02,18,5,2018-19,1
CT,2019-02-16,22,7,2018-19,1
CT,2019-02-23,12,8,2018-19,1
CT,2019-03-09,15,10,2018-19,1
CT,2019-03-16,13,11,2018-19,1
CT,2019-03-23,12,12,2018-19,1
CT,2019-04-06,12,14,2018-19,1
CT,2019-04-13,19,15,2018-19,1
CT,2019-04-20,17,16,2018-19,1
CT,2019-04-27,14,17,2018-19,1
CT,2019-05-04,13,18,2018-19,1
