state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,14,1,2018-19,1
AL,2019-01-12,21,2,2018-19,1
AL,2019-01-19,30,3,2018-19,1
AL,2019-01-26,14,4,2018-19,1
AL,2019-02-02,20,5,2018-19,1
AL,2019-02-09,27,6,2018-19,1
AL,2019-02-16,17,7,2018-19,1
AL,2019-02-23,23,8,2018-19,1
AL,2019-03-02,11,9,2018-19,1
AL,2019-03-09,12,10,2018-19,1
AL,2019-03-16,22,11,2018-19,1
AL,2019-03-23,15,12,2018-19,1
AL,2019-03-30,12,13,2018-19,1
AL,2019-04-06,22,14,2018-19,1
AL,2019-04-13,16,15,2018-19,1
AL,2019-04-20,16,16,2018-19,1
AL,2019-04-27,20,17,2018-19,1
AL,2019-05-04,16,18,2018-19,1
AL,2019-05-11,12,19,2018-19,1
AL,2019-05-18,22,20,2018-19,1
AL,2019-06-08,17,23,2018-19,1
AL,2019-06-15,17,24,2018-19,1
AL,2019-06-22,18,25,2018-19,1
AL,2019-06-29,18,26,2018-19,1
AL,2019-07-06,15,27,2018-19,1
AL,2019-07-13,17,28,2018-19,1
AL,2020-01-04,13,1,2019-20,1
AL,2020-01-11,20,2,2019-20,1
AL,2020-01-18,21,3,2019-20,1
AL,2020-01-25,11,4,2019-20,1
AL,2020-02-01,17,5,2019-20,1
AL,2020-02-08,20,6,2019-20,1
AL,2020-02-15,23,7,2019-20,1
AL,2020-02-22,12,8,2019-20,1
AL,2020-02-29,20,9,2019-20,1
AL,2020-03-07,24,10,2019-20,1
AL,2020-03-14,28,11,2019-20,1
AL,2020-03-21,24,12,2019-20,1
AL,2020-03-28,23,13,2019-20,1
AL,2020-04-04,23,14,2019-20,1
AL,2020-04-11,20,15,2019-20,1
AL,2020-04-18,22,16,2019-20,1
AL,2020-04-25,13,17,2019-20,1
AL,2020-05-02,19,18,2019-20,1
AL,2020-05-09,19,19,2019-20,1
AL,2020-05-16,17,20,2019-20,1
AL,2020-05-23,16,21,2019-20,1
AL,2020-05-30,14,22,2019-20,1
AL,2020-06-06,18,23,2019-20,1
AL,2020-06-13,16,24,2019-20,1
AL,2020-06-20,16,25,2019-20,1
AL,2020-06-27,14,26,2019-20,1
AL,2020-07-11,12,28,2019-20,1
AK,2019-01-26,0,4,2018-19,1
AK,2019-02-09,0,6,2018-19,1
AK,2019-02-23,0,8,2018-19,1
AK,2019-04-13,0,15,2018-19,1
AK,2019-04-20,0,16,2018-19,1
AK,2019-04-27,0,17,2018-19,1
AK,2019-05-04,0,18,2018-19,1
AK,2019-05-18,0,20,2018-19,1
AK,2019-05-25,0,21,2018-19,1
AK,2019-06-01,0,22,2018-19,1
AK,2019-06-22,0,25,2018-19,1
AK,2019-06-29,0,26,2018-19,1
AK,2019-07-06,0,27,2018-19,1
AK,2020-01-04,0,1,2019-20,1
AK,2020-01-25,0,4,2019-20,1
AK,2020-04-18,0,16,2019-20,1
AK,2020-05-16,0,20,2019-20,1
AK,2020-05-23,0,21,2019-20,1
AK,2020-05-30,0,22,2019-20,1
AK,2020-06-20,0,25,2019-20,1
AK,2020-07-04,0,27,2019-20,1
AK,2020-07-11,0,28,2019-20,1
AZ,2019-01-05,23,1,2018-19,1
AZ,2019-01-12,25,2,2018-19,1
AZ,2019-01-19,24,3,2018-19,1
AZ,2019-01-26,19,4,2018-19,1
AZ,2019-02-02,17,5,2018-19,1
AZ,2019-02-09,20,6,2018-19,1
AZ,2019-02-16,17,7,2018-19,1
AZ,2019-02-23,17,8,2018-19,1
AZ,2019-03-02,19,9,2018-19,1
AZ,2019-03-09,27,10,2018-19,1
AZ,2019-03-16,22,11,2018-19,1
AZ,2019-03-23,16,12,2018-19,1
AZ,2019-03-30,16,13,2018-19,1
AZ,2019-04-06,15,14,2018-19,1
AZ,2019-04-13,16,15,2018-19,1
AZ,2019-04-20,25,16,2018-19,1
AZ,2019-04-27,23,17,2018-19,1
AZ,2019-05-04,16,18,2018-19,1
AZ,2019-05-11,17,19,2018-19,1
AZ,2019-05-18,15,20,2018-19,1
AZ,2019-05-25,22,21,2018-19,1
AZ,2019-06-01,22,22,2018-19,1
AZ,2019-06-08,13,23,2018-19,1
AZ,2019-06-15,14,24,2018-19,1
AZ,2019-06-22,11,25,2018-19,1
AZ,2019-06-29,16,26,2018-19,1
AZ,2019-07-06,15,27,2018-19,1
AZ,2019-07-13,17,28,2018-19,1
AZ,2020-01-04,17,1,2019-20,1
AZ,2020-01-11,20,2,2019-20,1
AZ,2020-01-18,30,3,2019-20,1
AZ,2020-01-25,24,4,2019-20,1
AZ,2020-02-01,19,5,2019-20,1
AZ,2020-02-08,17,6,2019-20,1
AZ,2020-02-15,18,7,2019-20,1
AZ,2020-02-22,16,8,2019-20,1
AZ,2020-02-29,27,9,2019-20,1
AZ,2020-03-07,29,10,2019-20,1
AZ,2020-03-14,27,11,2019-20,1
AZ,2020-03-21,30,12,2019-20,1
AZ,2020-03-28,18,13,2019-20,1
AZ,2020-04-04,26,14,2019-20,1
AZ,2020-04-11,28,15,2019-20,1
AZ,2020-04-18,13,16,2019-20,1
AZ,2020-04-25,25,17,2019-20,1
AZ,2020-05-02,13,18,2019-20,1
AZ,2020-05-09,20,19,2019-20,1
AZ,2020-05-16,23,20,2019-20,1
AZ,2020-05-23,22,21,2019-20,1
AZ,2020-05-30,20,22,2019-20,1
AZ,2020-06-06,14,23,2019-20,1
AZ,2020-06-13,26,24,2019-20,1
AZ,2020-06-20,30,25,2019-20,1
AZ,2020-06-27,27,26,2019-20,1
AZ,2020-07-04,27,27,2019-20,1
AZ,2020-07-11,40,28,2019-20,1
AR,2019-01-05,13,1,2018-19,1
AR,2019-01-19,15,3,2018-19,1
AR,2019-02-23,13,8,2018-19,1
AR,2019-03-16,12,11,2018-19,1
AR,2019-03-30,16,13,2018-19,1
AR,2019-04-13,12,15,2018-19,1
AR,2019-04-20,10,16,2018-19,1
AR,2019-04-27,10,17,2018-19,1
AR,2019-05-18,13,20,2018-19,1
AR,2019-06-01,10,22,2018-19,1
AR,2019-06-08,13,23,2018-19,1
AR,2019-06-15,15,24,2018-19,1
AR,2019-06-29,10,26,2018-19,1
AR,2020-01-25,14,4,2019-20,1
AR,2020-02-01,11,5,2019-20,1
AR,2020-02-15,12,7,2019-20,1
AR,2020-02-22,10,8,2019-20,1
AR,2020-02-29,12,9,2019-20,1
AR,2020-03-07,10,10,2019-20,1
AR,2020-03-21,13,12,2019-20,1
AR,2020-05-02,12,18,2019-20,1
AR,2020-05-23,11,21,2019-20,1
AR,2020-07-04,17,27,2019-20,1
CA,2019-01-05,71,1,2018-19,1
CA,2019-01-12,67,2,2018-19,1
CA,2019-01-19,78,3,2018-19,1
CA,2019-01-26,74,4,2018-19,1
CA,2019-02-02,50,5,2018-19,1
CA,2019-02-09,74,6,2018-19,1
CA,2019-02-16,64,7,2018-19,1
CA,2019-02-23,59,8,2018-19,1
CA,2019-03-02,75,9,2018-19,1
CA,2019-03-09,74,10,2018-19,1
CA,2019-03-16,60,11,2018-19,1
CA,2019-03-23,72,12,2018-19,1
CA,2019-03-30,76,13,2018-19,1
CA,2019-04-06,49,14,2018-19,1
CA,2019-04-13,68,15,2018-19,1
CA,2019-04-20,66,16,2018-19,1
CA,2019-04-27,62,17,2018-19,1
CA,2019-05-04,59,18,2018-19,1
CA,2019-05-11,50,19,2018-19,1
CA,2019-05-18,65,20,2018-19,1
CA,2019-05-25,53,21,2018-19,1
CA,2019-06-01,55,22,2018-19,1
CA,2019-06-08,52,23,2018-19,1
CA,2019-06-15,59,24,2018-19,1
CA,2019-06-22,54,25,2018-19,1
CA,2019-06-29,48,26,2018-19,1
CA,2019-07-06,49,27,2018-19,1
CA,2019-07-13,41,28,2018-19,1
CA,2020-01-04,80,1,2019-20,1
CA,2020-01-11,86,2,2019-20,1
CA,2020-01-18,81,3,2019-20,1
CA,2020-01-25,80,4,2019-20,1
CA,2020-02-01,81,5,2019-20,1
CA,2020-02-08,72,6,2019-20,1
CA,2020-02-15,43,7,2019-20,1
CA,2020-02-22,73,8,2019-20,1
CA,2020-02-29,70,9,2019-20,1
CA,2020-03-07,70,10,2019-20,1
CA,2020-03-14,60,11,2019-20,1
CA,2020-03-21,78,12,2019-20,1
CA,2020-03-28,56,13,2019-20,1
CA,2020-04-04,60,14,2019-20,1
CA,2020-04-11,61,15,2019-20,1
CA,2020-04-18,58,16,2019-20,1
CA,2020-04-25,51,17,2019-20,1
CA,2020-05-02,50,18,2019-20,1
CA,2020-05-09,48,19,2019-20,1
CA,2020-05-16,50,20,2019-20,1
CA,2020-05-23,52,21,2019-20,1
CA,2020-05-30,40,22,2019-20,1
CA,2020-06-06,46,23,2019-20,1
CA,2020-06-13,49,24,2019-20,1
CA,2020-06-20,50,25,2019-20,1
CA,2020-06-27,41,26,2019-20,1
CA,2020-07-04,48,27,2019-20,1
CA,2020-07-11,44,28,2019-20,1
CO,2019-01-05,17,1,2018-19,1
CO,2019-01-19,12,3,2018-19,1
CO,2019-01-26,16,4,2018-19,1
CO,2019-02-02,15,5,2018-19,1
CO,2019-02-16,17,7,2018-19,1
CO,2019-02-23,14,8,2018-19,1
CO,2019-03-02,20,9,2018-19,1
CO,2019-03-09,13,10,2018-19,1
CO,2019-03-16,18,11,2018-19,1
CO,2019-03-23,12,12,2018-19,1
CO,2019-03-30,14,13,2018-19,1
CO,2019-04-20,12,16,2018-19,1
CO,2019-04-27,11,17,2018-19,1
CO,2019-05-04,15,18,2018-19,1
CO,2019-05-11,12,19,2018-19,1
CO,2019-05-18,10,20,2018-19,1
CO,2019-05-25,12,21,2018-19,1
CO,2019-06-01,10,22,2018-19,1
CO,2019-06-08,14,23,2018-19,1
CO,2019-06-15,11,24,2018-19,1
CO,2019-06-29,16,26,2018-19,1
CO,2019-07-06,16,27,2018-19,1
CO,2020-01-04,20,1,2019-20,1
CO,2020-01-18,13,3,2019-20,1
CO,2020-01-25,21,4,2019-20,1
CO,2020-02-08,15,6,2019-20,1
CO,2020-02-15,18,7,2019-20,1
CO,2020-02-22,10,8,2019-20,1
CO,2020-02-29,10,9,2019-20,1
CO,2020-03-07,12,10,2019-20,1
CO,2020-03-21,14,12,2019-20,1
CO,2020-03-28,16,13,2019-20,1
CO,2020-04-04,18,14,2019-20,1
CO,2020-04-11,23,15,2019-20,1
CO,2020-04-18,11,16,2019-20,1
CO,2020-04-25,12,17,2019-20,1
CO,2020-05-02,15,18,2019-20,1
CO,2020-05-09,13,19,2019-20,1
CO,2020-05-16,14,20,2019-20,1
CO,2020-05-30,14,22,2019-20,1
CO,2020-06-06,10,23,2019-20,1
CO,2020-06-13,15,24,2019-20,1
CO,2020-06-20,18,25,2019-20,1
CO,2020-06-27,12,26,2019-20,1
CO,2020-07-04,14,27,2019-20,1
CT,2019-01-19,12,3,2018-19,1
CT,2019-01-26,10,4,2018-19,1
CT,2019-02-02,14,5,2018-19,1
CT,2019-02-09,13,6,2018-19,1
CT,2019-02-16,10,7,2018-19,1
CT,2019-02-23,14,8,2018-19,1
CT,2019-03-02,13,9,2018-19,1
CT,2019-03-09,12,10,2018-19,1
CT,2019-03-16,15,11,2018-19,1
CT,2019-03-23,10,12,2018-19,1
CT,2019-03-30,14,13,2018-19,1
CT,2019-04-13,12,15,2018-19,1
CT,2019-04-27,15,17,2018-19,1
CT,2019-05-04,15,18,2018-19,1
CT,2019-05-11,11,19,2018-19,1
CT,2019-05-18,10,20,2018-19,1
CT,2019-06-08,10,23,2018-19,1
CT,2019-06-15,10,24,2018-19,1
CT,2019-06-29,14,26,2018-19,1
CT,2019-07-06,12,27,2018-19,1
CT,2020-01-04,11,1,2019-20,1
CT,2020-01-18,16,3,2019-20,1
CT,2020-01-25,13,4,2019-20,1
CT,2020-02-01,13,5,2019-20,1
CT,2020-02-08,16,6,2019-20,1
CT,2020-02-15,10,7,2019-20,1
CT,2020-02-22,15,8,2019-20,1
CT,2020-03-07,15,10,2019-20,1
CT,2020-03-14,15,11,2019-20,1
CT,2020-03-21,12,12,2019-20,1
CT,2020-03-28,11,13,2019-20,1
CT,2020-04-04,11,14,2019-20,1
CT,2020-04-11,15,15,2019-20,1
CT,2020-04-18,19,16,2019-20,1
CT,2020-04-25,22,17,2019-20,1
CT,2020-05-02,13,18,2019-20,1
CT,2020-05-09,23,19,2019-20,1
CT,2020-05-16,14,20,2019-20,1
CT,2020-05-23,19,21,2019-20,1
CT,2020-05-30,12,22,2019-20,1
CT,2020-06-06,14,23,2019-20,1
DE,2019-01-26,0,4,2018-19,1
DE,2019-03-30,0,13,2018-19,1
DE,2020-01-11,0,2,2019-20,1
DE,2020-01-18,0,3,2019-20,1
DE,2020-04-04,0,14,2019-20,1
DE,2020-06-13,0,24,2019-20,1
DC,2019-01-05,0,1,2018-19,1
DC,2019-01-26,0,4,2018-19,1
DC,2019-02-09,0,6,2018-19,1
DC,2019-02-23,0,8,2018-19,1
DC,2019-05-11,0,19,2018-19,1
DC,2019-06-01,0,22,2018-19,1
DC,2019-06-15,0,24,2018-19,1
DC,2019-06-29,0,26,2018-19,1
DC,2019-07-06,0,27,2018-19,1
DC,2020-01-11,0,2,2019-20,1
DC,2020-01-18,0,3,2019-20,1
DC,2020-02-15,0,7,2019-20,1
DC,2020-03-21,0,12,2019-20,1
DC,2020-04-11,0,15,2019-20,1
DC,2020-04-25,0,17,2019-20,1
DC,2020-05-02,0,18,2019-20,1
DC,2020-06-13,0,24,2019-20,1
DC,2020-06-20,0,25,2019-20,1
DC,2020-07-04,0,27,2019-20,1
DC,2020-07-11,0,28,2019-20,1
FL,2019-01-05,44,1,2018-19,1
FL,2019-01-12,67,2,2018-19,1
FL,2019-01-19,54,3,2018-19,1
FL,2019-01-26,68,4,2018-19,1
FL,2019-02-02,70,5,2018-19,1
FL,2019-02-09,51,6,2018-19,1
FL,2019-02-16,67,7,2018-19,1
FL,2019-02-23,73,8,2018-19,1
FL,2019-03-02,51,9,2018-19,1
FL,2019-03-09,53,10,2018-19,1
FL,2019-03-16,56,11,2018-19,1
FL,2019-03-23,70,12,2018-19,1
FL,2019-03-30,50,13,2018-19,1
FL,2019-04-06,50,14,2018-19,1
FL,2019-04-13,70,15,2018-19,1
FL,2019-04-20,55,16,2018-19,1
FL,2019-04-27,45,17,2018-19,1
FL,2019-05-04,60,18,2018-19,1
FL,2019-05-11,65,19,2018-19,1
FL,2019-05-18,37,20,2018-19,1
FL,2019-05-25,51,21,2018-19,1
FL,2019-06-01,57,22,2018-19,1
FL,2019-06-08,56,23,2018-19,1
FL,2019-06-15,59,24,2018-19,1
FL,2019-06-22,52,25,2018-19,1
FL,2019-06-29,63,26,2018-19,1
FL,2019-07-06,59,27,2018-19,1
FL,2019-07-13,55,28,2018-19,1
FL,2020-01-04,59,1,2019-20,1
FL,2020-01-11,63,2,2019-20,1
FL,2020-01-18,66,3,2019-20,1
FL,2020-01-25,55,4,2019-20,1
FL,2020-02-01,66,5,2019-20,1
FL,2020-02-08,65,6,2019-20,1
FL,2020-02-15,64,7,2019-20,1
FL,2020-02-22,60,8,2019-20,1
FL,2020-02-29,59,9,2019-20,1
FL,2020-03-07,42,10,2019-20,1
FL,2020-03-14,65,11,2019-20,1
FL,2020-03-21,60,12,2019-20,1
FL,2020-03-28,75,13,2019-20,1
FL,2020-04-04,57,14,2019-20,1
FL,2020-04-11,50,15,2019-20,1
FL,2020-04-18,41,16,2019-20,1
FL,2020-04-25,37,17,2019-20,1
FL,2020-05-02,50,18,2019-20,1
FL,2020-05-09,52,19,2019-20,1
FL,2020-05-16,38,20,2019-20,1
FL,2020-05-23,40,21,2019-20,1
FL,2020-05-30,44,22,2019-20,1
FL,2020-06-06,43,23,2019-20,1
FL,2020-06-13,48,24,2019-20,1
FL,2020-06-20,43,25,2019-20,1
FL,2020-06-27,52,26,2019-20,1
FL,2020-07-04,49,27,2019-20,1
FL,2020-07-11,49,28,2019-20,1
GA,2019-01-05,29,1,2018-19,1
GA,2019-01-12,30,2,2018-19,1
GA,2019-01-19,43,3,2018-19,1
GA,2019-01-26,36,4,2018-19,1
GA,2019-02-02,40,5,2018-19,1
GA,2019-02-09,35,6,2018-19,1
GA,2019-02-16,39,7,2018-19,1
GA,2019-02-23,54,8,2018-19,1
GA,2019-03-02,31,9,2018-19,1
GA,2019-03-09,33,10,2018-19,1
GA,2019-03-16,46,11,2018-19,1
GA,2019-03-23,33,12,2018-19,1
GA,2019-03-30,40,13,2018-19,1
GA,2019-04-06,25,14,2018-19,1
GA,2019-04-13,46,15,2018-19,1
GA,2019-04-20,35,16,2018-19,1
GA,2019-04-27,38,17,2018-19,1
GA,2019-05-04,47,18,2018-19,1
GA,2019-05-11,35,19,2018-19,1
GA,2019-05-18,25,20,2018-19,1
GA,2019-05-25,34,21,2018-19,1
GA,2019-06-01,41,22,2018-19,1
GA,2019-06-08,30,23,2018-19,1
GA,2019-06-15,33,24,2018-19,1
GA,2019-06-22,33,25,2018-19,1
GA,2019-06-29,30,26,2018-19,1
GA,2019-07-06,21,27,2018-19,1
GA,2019-07-13,23,28,2018-19,1
GA,2020-01-04,44,1,2019-20,1
GA,2020-01-11,51,2,2019-20,1
GA,2020-01-18,40,3,2019-20,1
GA,2020-01-25,40,4,2019-20,1
GA,2020-02-01,39,5,2019-20,1
GA,2020-02-08,31,6,2019-20,1
GA,2020-02-15,46,7,2019-20,1
GA,2020-02-22,41,8,2019-20,1
GA,2020-02-29,57,9,2019-20,1
GA,2020-03-07,34,10,2019-20,1
GA,2020-03-14,45,11,2019-20,1
GA,2020-03-21,42,12,2019-20,1
GA,2020-03-28,56,13,2019-20,1
GA,2020-04-04,50,14,2019-20,1
GA,2020-04-11,40,15,2019-20,1
GA,2020-04-18,35,16,2019-20,1
GA,2020-04-25,42,17,2019-20,1
GA,2020-05-02,42,18,2019-20,1
GA,2020-05-09,52,19,2019-20,1
GA,2020-05-16,40,20,2019-20,1
GA,2020-05-23,44,21,2019-20,1
GA,2020-05-30,46,22,2019-20,1
GA,2020-06-06,42,23,2019-20,1
GA,2020-06-13,33,24,2019-20,1
GA,2020-06-20,43,25,2019-20,1
GA,2020-06-27,45,26,2019-20,1
GA,2020-07-04,32,27,2019-20,1
GA,2020-07-11,44,28,2019-20,1
HI,2019-01-26,0,4,2018-19,1
HI,2019-03-02,0,9,2018-19,1
ID,2019-02-23,10,8,2018-19,1
ID,2019-06-01,10,22,2018-19,1
ID,2020-03-21,0,12,2019-20,1
ID,2020-05-30,0,22,2019-20,1
IL,2019-01-05,30,1,2018-19,1
IL,2019-01-12,29,2,2018-19,1
IL,2019-01-19,33,3,2018-19,1
IL,2019-01-26,25,4,2018-19,1
IL,2019-02-02,31,5,2018-19,1
IL,2019-02-09,39,6,2018-19,1
IL,2019-02-16,37,7,2018-19,1
IL,2019-02-23,24,8,2018-19,1
IL,2019-03-02,23,9,2018-19,1
IL,2019-03-09,42,10,2018-19,1
IL,2019-03-16,32,11,2018-19,1
IL,2019-03-23,28,12,2018-19,1
IL,2019-03-30,37,13,2018-19,1
IL,2019-04-06,32,14,2018-19,1
IL,2019-04-13,24,15,2018-19,1
IL,2019-04-20,30,16,2018-19,1
IL,2019-04-27,26,17,2018-19,1
IL,2019-05-04,24,18,2018-19,1
IL,2019-05-11,23,19,2018-19,1
IL,2019-05-18,24,20,2018-19,1
IL,2019-05-25,24,21,2018-19,1
IL,2019-06-01,31,22,2018-19,1
IL,2019-06-08,26,23,2018-19,1
IL,2019-06-15,24,24,2018-19,1
IL,2019-06-22,19,25,2018-19,1
IL,2019-06-29,22,26,2018-19,1
IL,2019-07-06,25,27,2018-19,1
IL,2019-07-13,28,28,2018-19,1
IL,2020-01-04,43,1,2019-20,1
IL,2020-01-11,27,2,2019-20,1
IL,2020-01-18,39,3,2019-20,1
IL,2020-01-25,21,4,2019-20,1
IL,2020-02-01,26,5,2019-20,1
IL,2020-02-08,32,6,2019-20,1
IL,2020-02-15,32,7,2019-20,1
IL,2020-02-22,40,8,2019-20,1
IL,2020-02-29,36,9,2019-20,1
IL,2020-03-07,27,10,2019-20,1
IL,2020-03-14,38,11,2019-20,1
IL,2020-03-21,33,12,2019-20,1
IL,2020-03-28,40,13,2019-20,1
IL,2020-04-04,30,14,2019-20,1
IL,2020-04-11,24,15,2019-20,1
IL,2020-04-18,27,16,2019-20,1
IL,2020-04-25,32,17,2019-20,1
IL,2020-05-02,27,18,2019-20,1
IL,2020-05-09,30,19,2019-20,1
IL,2020-05-16,30,20,2019-20,1
IL,2020-05-23,31,21,2019-20,1
IL,2020-05-30,21,22,2019-20,1
IL,2020-06-06,31,23,2019-20,1
IL,2020-06-13,22,24,2019-20,1
IL,2020-06-20,17,25,2019-20,1
IL,2020-06-27,28,26,2019-20,1
IL,2020-07-04,27,27,2019-20,1
IL,2020-07-11,23,28,2019-20,1
IN,2019-01-05,22,1,2018-19,1
IN,2019-01-12,24,2,2018-19,1
IN,2019-01-19,35,3,2018-19,1
IN,2019-01-26,24,4,2018-19,1
IN,2019-02-02,17,5,2018-19,1
IN,2019-02-09,28,6,2018-19,1
IN,2019-02-16,30,7,2018-19,1
IN,2019-02-23,24,8,2018-19,1
IN,2019-03-02,16,9,2018-19,1
IN,2019-03-09,22,10,2018-19,1
IN,2019-03-16,21,11,2018-19,1
IN,2019-03-23,26,12,2018-19,1
IN,2019-03-30,29,13,2018-19,1
IN,2019-04-06,25,14,2018-19,1
IN,2019-04-13,23,15,2018-19,1
IN,2019-04-20,23,16,2018-19,1
IN,2019-04-27,20,17,2018-19,1
IN,2019-05-04,25,18,2018-19,1
IN,2019-05-11,27,19,2018-19,1
IN,2019-05-18,26,20,2018-19,1
IN,2019-05-25,22,21,2018-19,1
IN,2019-06-01,19,22,2018-19,1
IN,2019-06-08,20,23,2018-19,1
IN,2019-06-15,18,24,2018-19,1
IN,2019-06-22,29,25,2018-19,1
IN,2019-06-29,21,26,2018-19,1
IN,2019-07-06,22,27,2018-19,1
IN,2019-07-13,19,28,2018-19,1
IN,2020-01-04,30,1,2019-20,1
IN,2020-01-11,27,2,2019-20,1
IN,2020-01-18,20,3,2019-20,1
IN,2020-01-25,17,4,2019-20,1
IN,2020-02-01,29,5,2019-20,1
IN,2020-02-08,21,6,2019-20,1
IN,2020-02-15,26,7,2019-20,1
IN,2020-02-22,22,8,2019-20,1
IN,2020-02-29,23,9,2019-20,1
IN,2020-03-07,25,10,2019-20,1
IN,2020-03-14,23,11,2019-20,1
IN,2020-03-21,32,12,2019-20,1
IN,2020-03-28,22,13,2019-20,1
IN,2020-04-04,29,14,2019-20,1
IN,2020-04-11,28,15,2019-20,1
IN,2020-04-18,23,16,2019-20,1
IN,2020-04-25,23,17,2019-20,1
IN,2020-05-02,20,18,2019-20,1
IN,2020-05-09,16,19,2019-20,1
IN,2020-05-16,24,20,2019-20,1
IN,2020-05-23,19,21,2019-20,1
IN,2020-05-30,20,22,2019-20,1
IN,2020-06-06,12,23,2019-20,1
IN,2020-06-13,16,24,2019-20,1
IN,2020-06-20,14,25,2019-20,1
IN,2020-06-27,16,26,2019-20,1
IN,2020-07-04,17,27,2019-20,1
IN,2020-07-11,17,28,2019-20,1
IA,2019-01-05,12,1,2018-19,1
IA,2019-01-12,13,2,2018-19,1
IA,2019-02-02,12,5,2018-19,1
IA,2019-02-09,11,6,2018-19,1
IA,2019-02-16,16,7,2018-19,1
IA,2019-02-23,11,8,2018-19,1
IA,2019-03-09,11,10,2018-19,1
IA,2019-03-16,14,11,2018-19,1
IA,2019-03-30,11,13,2018-19,1
IA,2019-04-20,10,16,2018-19,1
IA,2019-05-04,11,18,2018-19,1
IA,2019-05-11,10,19,2018-19,1
IA,2019-07-13,10,28,2018-19,1
IA,2020-01-04,18,1,2019-20,1
IA,2020-01-11,13,2,2019-20,1
IA,2020-01-18,17,3,2019-20,1
IA,2020-02-08,12,6,2019-20,1
IA,2020-02-22,13,8,2019-20,1
IA,2020-02-29,18,9,2019-20,1
IA,2020-03-07,10,10,2019-20,1
IA,2020-03-21,14,12,2019-20,1
IA,2020-03-28,12,13,2019-20,1
IA,2020-05-02,13,18,2019-20,1
IA,2020-05-30,10,22,2019-20,1
IA,2020-07-04,10,27,2019-20,1
KS,2019-01-05,14,1,2018-19,1
KS,2019-02-02,11,5,2018-19,1
KS,2019-02-23,11,8,2018-19,1
KS,2019-03-09,14,10,2018-19,1
