state,week_end,count,WEEK,SEASON,one
AL,2019-01-05,30,1,2018-19,1
AL,2019-01-12,25,2,2018-19,1
AL,2019-01-19,22,3,2018-19,1
AL,2019-01-26,21,4,2018-19,1
AL,2019-02-02,18,5,2018-19,1
AL,2019-02-09,18,6,2018-19,1
AL,2019-02-16,27,7,2018-19,1
AL,2019-02-23,16,8,2018-19,1
AL,2019-03-02,25,9,2018-19,1
AL,2019-03-09,18,10,2018-19,1
AL,2019-03-16,21,11,2018-19,1
AL,2019-03-23,21,12,2018-19,1
AL,2019-03-30,23,13,2018-19,1
AL,2019-04-06,12,14,2018-19,1
AL,2019-04-13,22,15,2018-19,1
AL,2019-04-20,21,16,2018-19,1
AL,2019-04-27,21,17,2018-19,1
AL,2019-05-04,14,18,2018-19,1
AL,2019-05-11,15,19,2018-19,1
AL,2019-05-18,17,20,2018-19,1
AL,2019-05-25,14,21,2018-19,1
AL,2019-06-01,21,22,2018-19,1
AL,2019-06-08,15,23,2018-19,1
AL,2019-06-15,23,24,2018-19,1
AL,2019-06-22,19,25,2018-19,1
AL,2019-06-29,31,26,2018-19,1
AL,2019-07-06,22,27,2018-19,1
AL,2019-07-13,19,28,2018-19,1
AL,2019-07-20,19,29,2018-19,1
AL,2019-07-27,19,30,2018-19,1
AL,2020-01-04,15,1,2019-20,1
AL,2020-01-11,25,2,2019-20,1
AL,2020-01-18,28,3,2019-20,1
AL,2020-01-25,15,4,2019-20,1
AL,2020-02-01,15,5,2019-20,1
AL,2020-02-08,26,6,2019-20,1
AL,2020-02-15,17,7,2019-20,1
AL,2020-02-22,17,8,2019-20,1
AL,2020-02-29,21,9,2019-20,1
AL,2020-03-07,18,10,2019-20,1
AL,2020-03-14,16,11,2019-20,1
AL,2020-03-21,17,12,2019-20,1
AL,2020-03-28,14,13,2019-20,1
AL,2020-04-04,27,14,2019-20,1
AL,2020-04-11,25,15,2019-20,1
AL,2020-04-18,20,16,2019-20,1
AL,2020-04-25,21,17,2019-20,1
AL,2020-05-02,17,18,2019-20,1
AL,2020-05-09,18,19,2019-20,1
AL,2020-05-16,19,20,2019-20,1
AL,2020-05-23,22,21,2019-20,1
AL,2020-05-30,23,22,2019-20,1
AL,2020-06-06,26,23,2019-20,1
AL,2020-06-13,15,24,2019-20,1
AL,2020-06-20,28,25,2019-20,1
AL,2020-06-27,13,26,2019-20,1
AL,2020-07-04,12,27,2019-20,1
AL,2020-07-11,14,28,2019-20,1
AL,2020-07-18,13,29,2019-20,1
AL,2020-07-25,11,30,2019-20,1
