state,week_end,count,WEEK,SEASON,one
US,2014-01-04,610,1,2013-14,0.5
US,2014-01-04,610,53,2012-13,0.5
US,2014-01-11,1192,2,2013-14,0.5
US,2014-01-18,1060,3,2013-14,0.5
US,2014-01-25,1136,4,2013-14,0.5
US,2014-02-01,1214,5,2013-14,0.5
US,2014-02-08,1174,6,2013-14,0.5
US,2014-02-15,1177,7,2013-14,0.5
US,2014-02-22,1177,8,2013-14,0.5
US,2014-03-01,1050,9,2013-14,0.5
US,2014-03-08,1159,10,2013-14,0.5
US,2014-03-15,1124,11,2013-14,0.5
US,2014-03-22,1007,12,2013-14,0.5
US,2014-03-29,1054,13,2013-14,0.5
US,2014-04-05,1086,14,2013-14,0.5
US,2014-04-12,1042,15,2013-14,0.5
US,2014-04-19,990,16,2013-14,0.5
US,2014-04-26,1205,17,2013-14,0.5
US,2014-05-03,1007,18,2013-14,0.5
US,2014-05-10,1133,19,2013-14,0.5
US,2014-05-17,1014,20,2013-14,0.5
US,2014-05-24,948,21,2013-14,0.5
US,2014-05-31,1128,22,2013-14,0.5
US,2014-06-07,993,23,2013-14,0.5
US,2014-06-14,1104,24,2013-14,0.5
US,2014-06-21,1120,25,2013-14,0.5
US,2014-06-28,1023,26,2013-14,0.5
US,2014-07-05,1055,27,2013-14,0.5
US,2014-07-12,962,28,2013-14,0.5
US,2014-07-19,1020,29,2013-14,0.5
US,2014-07-26,836,30,2013-14,0.5
US,2014-08-02,1011,31,2013-14,0.5
US,2014-08-09,940,32,2013-14,0.5
US,2014-08-16,982,33,2013-14,0.5
US,2014-08-23,969,34,2013-14,0.5
US,2014-08-30,940,35,2013-14,0.5
US,2014-09-06,1106,36,2013-14,0.5
US,2014-09-13,1029,37,2013-14,0.5
US,2014-09-20,1074,38,2013-14,0.5
US,2014-09-27,1046,39,2013-14,0.5
US,2014-10-04,1010,40,2013-14,0.5
US,2014-10-11,1186,41,2013-14,0.5
US,2014-10-18,1123,42,2013-14,0.5
US,2014-10-25,1144,43,2013-14,0.5
US,2014-11-01,1028,44,2013-14,0.5
US,2014-11-08,1299,45,2013-14,0.5
US,2014-11-15,1149,46,2013-14,0.5
US,2014-11-22,1203,47,2013-14,0.5
US,2014-11-29,1206,48,2013-14,0.5
US,2014-12-06,1307,49,2013-14,0.5
US,2014-12-13,1248,50,2013-14,0.5
US,2014-12-20,1282,51,2013-14,0.5
US,2014-12-27,1455,52,2013-14,0.5
US,2015-01-03,1371,1,2014-15,0.5
US,2015-01-10,1184,2,2014-15,0.5
US,2015-01-17,1276,3,2014-15,0.5
US,2015-01-24,1196,4,2014-15,0.5
US,2015-01-31,1274,5,2014-15,0.5
US,2015-02-07,1180,6,2014-15,0.5
US,2015-02-14,1166,7,2014-15,0.5
US,2015-02-21,1088,8,2014-15,0.5
US,2015-02-28,1160,9,2014-15,0.5
US,2015-03-07,1045,10,2014-15,0.5
US,2015-03-14,1040,11,2014-15,0.5
US,2015-03-21,1114,12,2014-15,0.5
US,2015-03-28,1117,13,2014-15,0.5
US,2015-04-04,1134,14,2014-15,0.5
US,2015-04-11,1059,15,2014-15,0.5
US,2015-04-18,1058,16,2014-15,0.5
US,2015-04-25,1007,17,2014-15,0.5
US,2015-05-02,1021,18,2014-15,0.5
US,2015-05-09,984,19,2014-15,0.5
US,2015-05-16,1007,20,2014-15,0.5
US,2015-05-23,982,21,2014-15,0.5
US,2015-05-30,965,22,2014-15,0.5
US,2015-06-06,1033,23,2014-15,0.5
US,2015-06-13,1045,24,2014-15,0.5
US,2015-06-20,1019,25,2014-15,0.5
US,2015-06-27,1031,26,2014-15,0.5
US,2015-07-04,988,27,2014-15,0.5
US,2015-07-11,1034,28,2014-15,0.5
US,2015-07-18,870,29,2014-15,0.5
US,2015-07-25,1090,30,2014-15,0.5
US,2015-08-01,1002,31,2014-15,0.5
US,2015-08-08,1027,32,2014-15,0.5
US,2015-08-15,926,33,2014-15,0.5
US,2015-08-22,890,34,2014-15,0.5
US,2015-08-29,1017,35,2014-15,0.5
US,2015-09-05,959,36,2014-15,0.5
US,2015-09-12,1028,37,2014-15,0.5
US,2015-09-19,1054,38,2014-15,0.5
US,2015-09-26,1028,39,2014-15,0.5
US,2015-10-03,982,40,2014-15,0.5
US,2015-10-10,1110,41,2014-15,0.5
US,2015-10-17,1107,42,2014-15,0.5
US,2015-10-24,1022,43,2014-15,0.5
US,2015-10-31,1036,44,2014-15,0.5
US,2015-11-07,1064,45,2014-15,0.5
US,2015-11-14,1095,46,2014-15,0.5
US,2015-11-21,1088,47,2014-15,0.5
US,2015-11-28,1259,48,2014-15,0.5
US,2015-12-05,1173,49,2014-15,0.5
US,2015-12-12,1236,50,2014-15,0.5
