WEEK,start_date,end_date,SEASON
1,30-Dec-19,5-Jan-20,2019-20
2,6-Jan-20,12-Jan-20,2019-20
3,13-Jan-20,19-Jan-20,2019-20
4,20-Jan-20,26-Jan-20,2019-20
5,27-Jan-20,2-Feb-20,2019-20
6,3-Feb-20,9-Feb-20,2019-20
7,10-Feb-20,16-Feb-20,2019-20
8,17-Feb-20,23-Feb-20,2019-20
9,24-Feb-20,1-Mar-20,2019-20
10,2-Mar-20,8-Mar-20,2019-20
11,9-Mar-20,15-Mar-20,2019-20
12,16-Mar-20,22-Mar-20,2019-20
13,23-Mar-20,29-Mar-20,2019-20
14,30-Mar-20,5-Apr-20,2019-20
15,6-Apr-20,12-Apr-20,2019-20
16,13-Apr-20,19-Apr-20,2019-20
17,20-Apr-20,26-Apr-20,2019-20
18,27-Apr-20,3-May-20,2019-20
19,4-May-20,10-May-20,2019-20
20,11-May-20,17-May-20,2019-20
21,18-May-20,24-May-20,2019-20
22,25-May-20,31-May-20,2019-20
23,1-Jun-20,7-Jun-20,2019-20
24,8-Jun-20,14-Jun-20,2019-20
25,15-Jun-20,21-Jun-20,2019-20
26,22-Jun-20,28-Jun-20,2019-20
27,29-Jun-20,5-Jul-20,2019-20
28,6-Jul-20,12-Jul-20,2019-20
29,13-Jul-20,19-Jul-20,2019-20
30,20-Jul-20,26-Jul-20,2019-20
31,27-Jul-20,2-Aug-20,2019-20
32,3-Aug-20,9-Aug-20,2019-20
33,10-Aug-20,16-Aug-20,2019-20
34,17-Aug-20,23-Aug-20,2019-20
35,24-Aug-20,30-Aug-20,2019-20
36,31-Aug-20,6-Sep-20,2019-20
37,7-Sep-20,13-Sep-20,2019-20
38,14-Sep-20,20-Sep-20,2019-20
39,21-Sep-20,27-Sep-20,2019-20
40,28-Sep-20,4-Oct-20,2019-20
41,5-Oct-20,11-Oct-20,2019-20
42,12-Oct-20,18-Oct-20,2019-20
43,19-Oct-20,25-Oct-20,2019-20
44,26-Oct-20,1-Nov-20,2019-20
45,2-Nov-20,8-Nov-20,2019-20
46,9-Nov-20,15-Nov-20,2019-20
47,16-Nov-20,22-Nov-20,2019-20
48,23-Nov-20,29-Nov-20,2019-20
49,30-Nov-20,6-Dec-20,2019-20
50,7-Dec-20,13-Dec-20,2019-20
51,14-Dec-20,20-Dec-20,2019-20
52,21-Dec-20,27-Dec-20,2019-20
53,28-Dec-20,3-Jan-21,2019-20
1,31-Dec-18,6-Jan-19,2018-19
2,7-Jan-19,13-Jan-19,2018-19
3,14-Jan-19,20-Jan-19,2018-19
4,21-Jan-19,27-Jan-19,2018-19
5,28-Jan-19,3-Feb-19,2018-19
6,4-Feb-19,10-Feb-19,2018-19
7,11-Feb-19,17-Feb-19,2018-19
8,18-Feb-19,24-Feb-19,2018-19
9,25-Feb-19,3-Mar-19,2018-19
10,4-Mar-19,10-Mar-19,2018-19
11,11-Mar-19,17-Mar-19,2018-19
12,18-Mar-19,24-Mar-19,2018-19
13,25-Mar-19,31-Mar-19,2018-19
14,1-Apr-19,7-Apr-19,2018-19
15,8-Apr-19,14-Apr-19,2018-19
16,15-Apr-19,21-Apr-19,2018-19
17,22-Apr-19,28-Apr-19,2018-19
18,29-Apr-19,5-May-19,2018-19
19,6-May-19,12-May-19,2018-19
20,13-May-19,19-May-19,2018-19
21,20-May-19,26-May-19,2018-19
22,27-May-19,2-Jun-19,2018-19
23,3-Jun-19,9-Jun-19,2018-19
24,10-Jun-19,16-Jun-19,2018-19
25,17-Jun-19,23-Jun-19,2018-19
26,24-Jun-19,30-Jun-19,2018-19
27,1-Jul-19,7-Jul-19,2018-19
28,8-Jul-19,14-Jul-19,2018-19
29,15-Jul-19,21-Jul-19,2018-19
30,22-Jul-19,28-Jul-19,2018-19
31,29-Jul-19,4-Aug-19,2018-19
32,5-Aug-19,11-Aug-19,2018-19
33,12-Aug-19,18-Aug-19,2018-19
34,19-Aug-19,25-Aug-19,2018-19
35,26-Aug-19,1-Sep-19,2018-19
36,2-Sep-19,8-Sep-19,2018-19
37,9-Sep-19,15-Sep-19,2018-19
38,16-Sep-19,22-Sep-19,2018-19
39,23-Sep-19,29-Sep-19,2018-19
40,30-Sep-19,6-Oct-19,2018-19
41,7-Oct-19,13-Oct-19,2018-19
42,14-Oct-19,20-Oct-19,2018-19
43,21-Oct-19,27-Oct-19,2018-19
44,28-Oct-19,3-Nov-19,2018-19
45,4-Nov-19,10-Nov-19,2018-19
46,11-Nov-19,17-Nov-19,2018-19
47,18-Nov-19,24-Nov-19,2018-19
48,25-Nov-19,1-Dec-19,2018-19
49,2-Dec-19,8-Dec-19,2018-19
50,9-Dec-19,15-Dec-19,2018-19
51,16-Dec-19,22-Dec-19,2018-19
52,23-Dec-19,29-Dec-19,2018-19
1,1-Jan-18,7-Jan-18,2017-18
2,8-Jan-18,14-Jan-18,2017-18
3,15-Jan-18,21-Jan-18,2017-18
4,22-Jan-18,28-Jan-18,2017-18
5,29-Jan-18,4-Feb-18,2017-18
6,5-Feb-18,11-Feb-18,2017-18
7,12-Feb-18,18-Feb-18,2017-18
8,19-Feb-18,25-Feb-18,2017-18
9,26-Feb-18,4-Mar-18,2017-18
10,5-Mar-18,11-Mar-18,2017-18
11,12-Mar-18,18-Mar-18,2017-18
12,19-Mar-18,25-Mar-18,2017-18
13,26-Mar-18,1-Apr-18,2017-18
14,2-Apr-18,8-Apr-18,2017-18
15,9-Apr-18,15-Apr-18,2017-18
16,16-Apr-18,22-Apr-18,2017-18
17,23-Apr-18,29-Apr-18,2017-18
18,30-Apr-18,6-May-18,2017-18
19,7-May-18,13-May-18,2017-18
20,14-May-18,20-May-18,2017-18
21,21-May-18,27-May-18,2017-18
22,28-May-18,3-Jun-18,2017-18
23,4-Jun-18,10-Jun-18,2017-18
24,11-Jun-18,17-Jun-18,2017-18
25,18-Jun-18,24-Jun-18,2017-18
26,25-Jun-18,1-Jul-18,2017-18
27,2-Jul-18,8-Jul-18,2017-18
28,9-Jul-18,15-Jul-18,2017-18
29,16-Jul-18,22-Jul-18,2017-18
30,23-Jul-18,29-Jul-18,2017-18
31,30-Jul-18,5-Aug-18,2017-18
32,6-Aug-18,12-Aug-18,2017-18
33,13-Aug-18,19-Aug-18,2017-18
34,20-Aug-18,26-Aug-18,2017-18
35,27-Aug-18,2-Sep-18,2017-18
36,3-Sep-18,9-Sep-18,2017-18
